No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.160,1,5
2,00:00:00.200,00:00:03.480,6,88
3,00:00:03.520,00:00:05.720,89,144
4,00:00:05.760,00:00:08.440,145,212
5,00:00:08.480,00:00:12.880,213,323
6,00:00:12.920,00:00:20.160,324,505
7,00:00:20.200,00:00:24.640,506,617
8,00:00:24.680,00:00:27.720,618,694
9,00:00:27.760,00:00:30.200,695,756
10,00:00:30.240,00:00:33.880,757,848
11,00:00:33.920,00:00:36.200,849,906
12,00:00:36.240,00:00:41.040,907,1027
13,00:00:41.080,00:00:43.360,1028,1085
14,00:00:43.400,00:00:46.280,1086,1158
15,00:00:46.320,00:00:52.480,1159,1313
16,00:00:52.520,00:00:55.400,1314,1386
17,00:00:55.440,00:01:00.320,1387,1509
18,00:01:00.360,00:01:05.000,1510,1626
19,00:01:05.040,00:01:07.080,1627,1678
20,00:01:07.120,00:01:10.000,1679,1751
21,00:01:10.040,00:01:14.000,1752,1851
22,00:01:14.040,00:01:20.640,1852,2017
23,00:01:20.680,00:01:22.840,2018,2072
24,00:01:22.880,00:01:25.560,2073,2140
25,00:01:25.600,00:01:28.600,2141,2216
26,00:01:28.640,00:01:30.560,2217,2265
27,00:01:30.600,00:01:33.920,2266,2349
28,00:01:33.960,00:01:40.480,2350,2513
29,00:01:40.520,00:01:43.520,2514,2589
30,00:01:43.560,00:01:46.400,2590,2661
31,00:01:46.440,00:01:46.760,2662,2670
