No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.520,1,39
2,00:00:01.560,00:00:02.800,40,71
3,00:00:02.840,00:00:05.120,72,129
4,00:00:05.160,00:00:10.480,130,263
5,00:00:10.520,00:00:12.320,264,309
6,00:00:12.360,00:00:14.400,310,361
7,00:00:14.440,00:00:16.080,362,403
8,00:00:16.120,00:00:17.480,404,438
9,00:00:17.520,00:00:18.960,439,475
10,00:00:19.000,00:00:22.120,476,554
11,00:00:22.160,00:00:24.680,555,618
12,00:00:24.720,00:00:26.560,619,665
13,00:00:26.600,00:00:29.560,666,740
14,00:00:29.600,00:00:30.880,741,773
15,00:00:30.920,00:00:33.720,774,844
16,00:00:33.760,00:00:36.400,845,911
17,00:00:36.440,00:00:38.680,912,968
18,00:00:38.720,00:00:40.320,969,1009
19,00:00:40.360,00:00:41.560,1010,1040
20,00:00:41.600,00:00:43.560,1041,1090
21,00:00:43.600,00:00:45.160,1091,1130
22,00:00:45.200,00:00:46.400,1131,1161
23,00:00:46.440,00:00:48.360,1162,1210
24,00:00:48.400,00:00:49.240,1211,1232
25,00:00:49.280,00:00:50.760,1233,1270
26,00:00:50.800,00:00:53.600,1271,1341
27,00:00:53.640,00:00:56.200,1342,1406
28,00:00:56.240,00:01:00.200,1407,1506
29,00:01:00.240,00:01:02.440,1507,1562
30,00:01:02.480,00:01:04.240,1563,1607
31,00:01:04.280,00:01:05.720,1608,1644
