No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.520,1,114
2,00:00:04.560,00:00:06.880,115,173
3,00:00:06.920,00:00:11.240,174,282
4,00:00:11.280,00:00:12.920,283,324
5,00:00:12.960,00:00:16.760,325,420
6,00:00:16.800,00:00:22.960,421,575
7,00:00:23.000,00:00:25.960,576,650
8,00:00:26.000,00:00:29.640,651,742
9,00:00:29.680,00:00:32.040,743,802
10,00:00:32.080,00:00:36.520,803,914
11,00:00:36.560,00:00:42.240,915,1057
12,00:00:42.280,00:00:44.880,1058,1123
13,00:00:44.920,00:00:49.600,1124,1241
14,00:00:49.640,00:00:59.440,1242,1487
15,00:00:59.480,00:01:03.440,1488,1587
16,00:01:03.480,00:01:05.840,1588,1647
17,00:01:05.880,00:01:07.320,1648,1684
18,00:01:07.360,00:01:19.680,1685,1993
19,00:01:19.720,00:01:22.600,1994,2066
20,00:01:22.640,00:01:25.760,2067,2145
21,00:01:25.800,00:01:27.760,2146,2195
22,00:01:27.800,00:01:30.360,2196,2260
23,00:01:30.400,00:01:40.280,2261,2508
24,00:01:40.320,00:01:48.120,2509,2704
25,00:01:48.160,00:01:53.360,2705,2835
26,00:01:53.400,00:01:58.240,2836,2957
27,00:01:58.280,00:02:02.800,2958,3071
28,00:02:02.840,00:02:06.320,3072,3159
29,00:02:06.360,00:02:10.320,3160,3259
30,00:02:10.360,00:02:14.520,3260,3364
31,00:02:14.560,00:02:18.440,3365,3462
32,00:02:18.480,00:02:22.200,3463,3556
33,00:02:22.240,00:02:23.440,3557,3587
34,00:02:23.480,00:02:29.920,3588,3749
35,00:02:29.960,00:02:32.120,3750,3804
36,00:02:32.160,00:02:33.320,3805,3834
37,00:02:33.360,00:02:37.080,3835,3928
38,00:02:37.120,00:02:39.280,3929,3983
39,00:02:39.320,00:02:42.000,3984,4051
40,00:02:42.040,00:02:45.400,4052,4136
41,00:02:45.440,00:02:52.920,4137,4324
42,00:02:52.960,00:02:55.200,4325,4381
