No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.720,1,19
2,00:00:00.760,00:00:02.000,20,51
3,00:00:02.040,00:00:04.120,52,104
4,00:00:04.160,00:00:05.840,105,147
5,00:00:05.880,00:00:08.200,148,206
6,00:00:08.240,00:00:12.520,207,314
7,00:00:12.560,00:00:15.760,315,395
8,00:00:15.800,00:00:17.640,396,442
9,00:00:17.680,00:00:18.800,443,471
10,00:00:18.840,00:00:24.480,472,613
11,00:00:24.520,00:00:31.480,614,788
12,00:00:31.520,00:00:33.280,789,833
13,00:00:33.320,00:00:36.120,834,904
14,00:00:36.160,00:00:38.560,905,965
15,00:00:38.600,00:00:39.920,966,999
16,00:00:39.960,00:00:42.480,1000,1063
17,00:00:42.520,00:00:44.400,1064,1111
18,00:00:44.440,00:00:45.280,1112,1133
19,00:00:45.320,00:00:47.080,1134,1178
20,00:00:47.120,00:00:48.920,1179,1224
21,00:00:48.960,00:00:49.840,1225,1247
22,00:00:49.880,00:00:51.000,1248,1276
23,00:00:51.040,00:00:52.480,1277,1313
24,00:00:52.520,00:00:54.760,1314,1370
25,00:00:54.800,00:00:55.920,1371,1399
26,00:00:55.960,00:00:57.720,1400,1444
27,00:00:57.760,00:01:04.360,1445,1610
28,00:01:04.400,00:01:06.160,1611,1655
29,00:01:06.200,00:01:08.160,1656,1705
30,00:01:08.200,00:01:09.960,1706,1750
31,00:01:10.000,00:01:12.040,1751,1802
32,00:01:12.080,00:01:14.280,1803,1858
33,00:01:14.320,00:01:19.120,1859,1979
34,00:01:19.160,00:01:23.120,1980,2079
35,00:01:23.160,00:01:27.000,2080,2176
