No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.160,1,30
2,00:00:01.200,00:00:04.440,31,112
3,00:00:04.480,00:00:07.000,113,176
4,00:00:07.040,00:00:09.280,177,233
5,00:00:09.320,00:00:12.520,234,314
6,00:00:12.560,00:00:16.040,315,402
7,00:00:16.080,00:00:20.640,403,517
8,00:00:20.680,00:00:25.040,518,627
9,00:00:25.080,00:00:28.240,628,707
10,00:00:28.280,00:00:34.040,708,852
11,00:00:34.080,00:00:36.080,853,903
12,00:00:36.120,00:00:58.400,904,1461
13,00:00:58.440,00:01:01.720,1462,1544
14,00:01:01.760,00:01:07.240,1545,1682
15,00:01:07.280,00:01:09.760,1683,1745
16,00:01:09.800,00:01:17.360,1746,1935
17,00:01:17.400,00:01:21.680,1936,2043
18,00:01:21.720,00:01:31.200,2044,2281
19,00:01:31.240,00:01:34.960,2282,2375
20,00:01:35.000,00:01:36.960,2376,2425
21,00:01:37.000,00:01:41.800,2426,2546
22,00:01:41.840,00:01:54.160,2547,2855
