No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.000,1,26
2,00:00:01.040,00:00:02.440,27,62
3,00:00:02.480,00:00:05.840,63,147
4,00:00:05.880,00:00:07.840,148,197
5,00:00:07.880,00:00:15.400,198,386
6,00:00:15.440,00:00:21.360,387,535
7,00:00:21.400,00:00:23.400,536,586
8,00:00:23.440,00:00:26.600,587,666
9,00:00:26.640,00:00:30.000,667,751
10,00:00:30.040,00:00:33.760,752,845
11,00:00:33.800,00:00:48.680,846,1218
12,00:00:48.720,00:00:49.560,1219,1240
13,00:00:49.600,00:00:52.720,1241,1319
14,00:00:52.760,00:00:55.240,1320,1382
15,00:00:55.280,00:01:00.800,1383,1521
16,00:01:00.840,00:01:03.920,1522,1599
17,00:01:03.960,00:01:06.520,1600,1664
18,00:01:06.560,00:01:10.440,1665,1762
19,00:01:10.480,00:01:16.760,1763,1920
20,00:01:16.800,00:01:17.880,1921,1948
21,00:01:17.920,00:01:19.920,1949,1999
22,00:01:19.960,00:01:21.080,2000,2028
23,00:01:21.120,00:01:22.920,2029,2074
24,00:01:22.960,00:01:34.920,2075,2374
25,00:01:34.960,00:01:52.120,2375,2804
26,00:01:52.160,00:01:54.880,2805,2873
27,00:01:54.920,00:01:59.160,2874,2980
28,00:01:59.200,00:02:00.160,2981,3005
29,00:02:00.200,00:02:05.080,3006,3128
30,00:02:05.120,00:02:08.080,3129,3203
31,00:02:08.120,00:02:10.320,3204,3259
32,00:02:10.360,00:02:13.640,3260,3342
33,00:02:13.680,00:02:15.640,3343,3392
34,00:02:15.680,00:02:17.720,3393,3444
35,00:02:17.760,00:02:20.920,3445,3524
36,00:02:20.960,00:02:22.600,3525,3566
37,00:02:22.640,00:02:24.200,3567,3606
38,00:02:24.240,00:02:25.960,3607,3650
39,00:02:26.000,00:02:27.280,3651,3683
40,00:02:27.320,00:02:28.600,3684,3716
41,00:02:28.640,00:02:32.520,3717,3814
42,00:02:32.560,00:02:39.240,3815,3982
43,00:02:39.280,00:02:42.560,3983,4065
44,00:02:42.600,00:02:44.360,4066,4110
45,00:02:44.400,00:03:18.640,4111,4967
