No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.720,1,69
2,00:00:02.760,00:00:22.320,70,559
3,00:00:22.360,00:00:23.840,560,597
4,00:00:23.880,00:00:27.800,598,696
5,00:00:27.840,00:00:29.560,697,740
6,00:00:29.600,00:00:31.840,741,797
7,00:00:31.880,00:00:32.880,798,823
8,00:00:32.920,00:00:44.080,824,1103
9,00:00:44.120,00:00:47.320,1104,1184
10,00:00:47.360,00:00:56.000,1185,1401
11,00:00:56.040,00:01:06.160,1402,1655
12,00:01:06.200,00:01:12.600,1656,1816
13,00:01:12.640,00:01:40.160,1817,2505
14,00:01:40.200,00:01:44.960,2506,2625
15,00:01:45.000,00:01:48.280,2626,2708
16,00:01:48.320,00:01:51.960,2709,2800
17,00:01:52.000,00:01:54.640,2801,2867
18,00:01:54.680,00:02:08.880,2868,3223
19,00:02:08.920,00:02:11.560,3224,3290
20,00:02:11.600,00:02:13.040,3291,3327
21,00:02:13.080,00:02:13.080,3328,3328
22,00:02:13.120,00:02:14.760,3329,3370
23,00:02:14.800,00:02:15.840,3371,3397
24,00:02:15.880,00:02:16.920,3398,3424
25,00:02:16.960,00:02:18.040,3425,3452
26,00:02:18.080,00:02:19.640,3453,3492
27,00:02:19.680,00:02:21.280,3493,3533
28,00:02:21.320,00:02:24.560,3534,3615
29,00:02:24.600,00:02:26.480,3616,3663
30,00:02:26.520,00:02:28.120,3664,3704
31,00:02:28.160,00:02:30.280,3705,3758
32,00:02:30.320,00:02:35.280,3759,3883
33,00:02:35.320,00:02:37.680,3884,3943
34,00:02:37.720,00:02:39.160,3944,3980
35,00:02:39.200,00:02:41.080,3981,4028
36,00:02:41.120,00:02:43.120,4029,4079
37,00:02:43.160,00:02:46.360,4080,4160
38,00:02:46.400,00:02:49.920,4161,4249
39,00:02:49.960,00:02:51.080,4250,4278
40,00:02:51.120,00:02:52.240,4279,4307
41,00:02:52.280,00:02:53.280,4308,4333
42,00:02:53.320,00:02:55.720,4334,4394
43,00:02:55.760,00:02:57.040,4395,4427
44,00:02:57.080,00:02:58.040,4428,4452
45,00:02:58.080,00:02:59.640,4453,4492
46,00:02:59.680,00:03:01.680,4493,4543
47,00:03:01.720,00:03:02.800,4544,4571
48,00:03:02.840,00:03:04.160,4572,4605
49,00:03:04.200,00:03:06.200,4606,4656
50,00:03:06.240,00:03:06.360,4657,4660
