No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.760,1,145
2,00:00:05.800,00:00:07.800,146,196
3,00:00:07.840,00:00:12.400,197,311
4,00:00:12.440,00:00:16.240,312,407
5,00:00:16.280,00:00:24.000,408,601
6,00:00:24.040,00:00:25.520,602,639
7,00:00:25.560,00:00:42.360,640,1060
8,00:00:42.400,00:00:43.720,1061,1094
9,00:00:43.760,00:00:48.000,1095,1201
10,00:00:48.040,00:00:51.760,1202,1295
11,00:00:51.800,00:00:56.200,1296,1406
12,00:00:56.240,00:00:57.840,1407,1447
13,00:00:57.880,00:00:59.600,1448,1491
14,00:00:59.640,00:01:01.400,1492,1536
15,00:01:01.440,00:01:03.560,1537,1590
16,00:01:03.600,00:01:25.440,1591,2137
17,00:01:25.480,00:01:28.040,2138,2202
18,00:01:28.080,00:01:30.160,2203,2255
19,00:01:30.200,00:01:33.000,2256,2326
20,00:01:33.040,00:01:36.800,2327,2421
21,00:01:36.840,00:02:00.920,2422,3024
22,00:02:00.960,00:02:03.200,3025,3081
23,00:02:03.240,00:02:05.360,3082,3135
24,00:02:05.400,00:02:08.080,3136,3203
25,00:02:08.120,00:02:10.600,3204,3266
26,00:02:10.640,00:02:12.040,3267,3302
27,00:02:12.080,00:02:17.920,3303,3449
28,00:02:17.960,00:02:35.200,3450,3881
29,00:02:35.240,00:02:37.320,3882,3934
30,00:02:37.360,00:02:40.760,3935,4020
31,00:02:40.800,00:02:42.080,4021,4053
32,00:02:42.120,00:02:43.400,4054,4086
33,00:02:43.440,00:02:48.320,4087,4209
34,00:02:48.360,00:02:54.720,4210,4369
35,00:02:54.760,00:02:56.800,4370,4421
36,00:02:56.840,00:02:59.480,4422,4488
37,00:02:59.520,00:03:02.320,4489,4559
