No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:16.240,1,407
2,00:00:16.280,00:00:22.600,408,566
3,00:00:22.640,00:00:25.280,567,633
4,00:00:25.320,00:00:26.720,634,669
5,00:00:26.760,00:00:34.960,670,875
6,00:00:35.000,00:00:41.560,876,1040
7,00:00:41.600,00:00:43.880,1041,1098
8,00:00:43.920,00:00:46.160,1099,1155
9,00:00:46.200,00:00:51.800,1156,1296
10,00:00:51.840,00:00:53.320,1297,1334
11,00:00:53.360,00:00:54.840,1335,1372
12,00:00:54.880,00:00:59.320,1373,1484
13,00:00:59.360,00:01:04.400,1485,1611
14,00:01:04.440,00:01:09.040,1612,1727
15,00:01:09.080,00:01:12.640,1728,1817
16,00:01:12.680,00:01:17.400,1818,1936
17,00:01:17.440,00:01:20.200,1937,2006
18,00:01:20.240,00:01:25.320,2007,2134
19,00:01:25.360,00:01:52.800,2135,2821
20,00:01:52.840,00:01:55.840,2822,2897
21,00:01:55.880,00:01:58.200,2898,2956
22,00:01:58.240,00:02:02.000,2957,3051
23,00:02:02.040,00:02:38.720,3052,3969
24,00:02:38.760,00:02:41.520,3970,4039
25,00:02:41.560,00:02:43.000,4040,4076
26,00:02:43.040,00:02:47.840,4077,4197
27,00:02:47.880,00:02:54.800,4198,4371
28,00:02:54.840,00:02:57.640,4372,4442
29,00:02:57.680,00:03:02.240,4443,4557
30,00:03:02.280,00:03:03.680,4558,4593
31,00:03:03.720,00:03:05.520,4594,4639
32,00:03:05.560,00:03:09.400,4640,4736
33,00:03:09.440,00:03:13.280,4737,4833
