No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:17.640,1,442
2,00:00:17.680,00:00:19.080,443,478
3,00:00:19.120,00:00:28.400,479,711
4,00:00:28.440,00:00:30.480,712,763
5,00:00:30.520,00:00:32.480,764,813
6,00:00:32.520,00:00:35.600,814,891
7,00:00:35.640,00:00:51.840,892,1297
8,00:00:51.880,00:00:57.920,1298,1449
9,00:00:57.960,00:00:59.000,1450,1476
10,00:00:59.040,00:01:04.920,1477,1624
11,00:01:04.960,00:01:08.960,1625,1725
12,00:01:09.000,00:01:14.640,1726,1867
13,00:01:14.680,00:01:16.680,1868,1918
14,00:01:16.720,00:01:19.000,1919,1976
15,00:01:19.040,00:01:26.000,1977,2151
16,00:01:26.040,00:01:27.160,2152,2180
17,00:01:27.200,00:01:28.360,2181,2210
18,00:01:28.400,00:01:29.520,2211,2239
19,00:01:29.560,00:01:30.880,2240,2273
20,00:01:30.920,00:01:31.960,2274,2300
21,00:01:32.000,00:01:33.360,2301,2335
22,00:01:33.400,00:01:34.880,2336,2373
23,00:01:34.920,00:01:36.800,2374,2421
24,00:01:36.840,00:01:40.880,2422,2523
25,00:01:40.920,00:01:42.200,2524,2556
26,00:01:42.240,00:01:43.480,2557,2588
27,00:01:43.520,00:01:44.720,2589,2619
28,00:01:44.760,00:01:46.120,2620,2654
29,00:01:46.160,00:01:49.880,2655,2748
30,00:01:49.920,00:01:55.680,2749,2893
31,00:01:55.720,00:01:58.960,2894,2975
32,00:01:59.000,00:02:03.600,2976,3091
33,00:02:03.640,00:02:07.200,3092,3181
34,00:02:07.240,00:02:14.560,3182,3365
35,00:02:14.600,00:02:19.800,3366,3496
36,00:02:19.840,00:02:22.680,3497,3568
37,00:02:22.720,00:02:27.680,3569,3693
38,00:02:27.720,00:02:32.680,3694,3818
39,00:02:32.720,00:02:46.640,3819,4167
40,00:02:46.680,00:02:49.520,4168,4239
41,00:02:49.560,00:02:51.160,4240,4280
42,00:02:51.200,00:02:52.760,4281,4320
43,00:02:52.800,00:02:56.040,4321,4402
44,00:02:56.080,00:02:57.720,4403,4444
45,00:02:57.760,00:03:00.360,4445,4510
46,00:03:00.400,00:03:03.000,4511,4576
47,00:03:03.040,00:03:03.360,4577,4585
