No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.600,1,66
2,00:00:02.640,00:00:04.200,67,106
3,00:00:04.240,00:00:11.240,107,282
4,00:00:11.280,00:00:14.840,283,372
5,00:00:14.880,00:00:18.880,373,473
6,00:00:18.920,00:00:21.680,474,543
7,00:00:21.720,00:00:24.360,544,610
8,00:00:24.400,00:00:26.920,611,674
9,00:00:26.960,00:00:30.080,675,753
10,00:00:30.120,00:00:33.440,754,837
11,00:00:33.480,00:00:35.440,838,887
12,00:00:35.480,00:00:37.160,888,930
13,00:00:37.200,00:00:40.800,931,1021
14,00:00:40.840,00:00:42.440,1022,1062
15,00:00:42.480,00:00:45.800,1063,1146
16,00:00:45.840,00:00:47.400,1147,1186
17,00:00:47.440,00:00:50.360,1187,1260
18,00:00:50.400,00:00:52.680,1261,1318
19,00:00:52.720,00:00:59.160,1319,1480
20,00:00:59.200,00:01:00.960,1481,1525
21,00:01:01.000,00:01:03.280,1526,1583
22,00:01:03.320,00:01:05.200,1584,1631
23,00:01:05.240,00:01:06.560,1632,1665
24,00:01:06.600,00:01:08.120,1666,1704
25,00:01:08.160,00:01:09.000,1705,1726
26,00:01:09.040,00:01:09.920,1727,1749
27,00:01:09.960,00:01:12.080,1750,1803
28,00:01:12.120,00:01:14.920,1804,1874
29,00:01:14.960,00:01:16.960,1875,1925
30,00:01:17.000,00:01:19.720,1926,1994
31,00:01:19.760,00:01:22.520,1995,2064
32,00:01:22.560,00:01:29.920,2065,2249
33,00:01:29.960,00:01:32.280,2250,2308
34,00:01:32.320,00:01:35.160,2309,2380
35,00:01:35.200,00:01:37.280,2381,2433
36,00:01:37.320,00:01:45.520,2434,2639
37,00:01:45.560,00:01:46.920,2640,2674
38,00:01:46.960,00:02:00.760,2675,3020
39,00:02:00.800,00:02:02.680,3021,3068
40,00:02:02.720,00:02:05.080,3069,3128
41,00:02:05.120,00:02:07.280,3129,3183
42,00:02:07.320,00:02:13.280,3184,3333
43,00:02:13.320,00:02:17.520,3334,3439
44,00:02:17.560,00:02:19.800,3440,3496
45,00:02:19.840,00:02:25.920,3497,3649
46,00:02:25.960,00:02:36.360,3650,3910
47,00:02:36.400,00:02:38.520,3911,3964
48,00:02:38.560,00:02:41.680,3965,4043
49,00:02:41.720,00:02:43.880,4044,4098
50,00:02:43.920,00:02:54.840,4099,4372
51,00:02:54.880,00:02:58.680,4373,4468
52,00:02:58.720,00:03:01.840,4469,4547
53,00:03:01.880,00:03:06.640,4548,4667
