No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.680,1,118
2,00:00:04.720,00:00:06.080,119,153
3,00:00:06.120,00:00:08.360,154,210
4,00:00:08.400,00:00:14.000,211,351
5,00:00:14.040,00:00:21.600,352,541
6,00:00:21.640,00:00:28.760,542,720
7,00:00:28.800,00:00:34.160,721,855
8,00:00:34.200,00:00:37.720,856,944
9,00:00:37.760,00:00:39.280,945,983
10,00:00:39.320,00:00:40.520,984,1014
11,00:00:40.560,00:00:42.200,1015,1056
12,00:00:42.240,00:00:44.840,1057,1122
13,00:00:44.880,00:00:47.680,1123,1193
14,00:00:47.720,00:00:49.040,1194,1227
15,00:00:49.080,00:00:49.160,1228,1230
16,00:00:49.200,00:00:52.400,1231,1311
17,00:00:52.440,00:00:53.920,1312,1349
18,00:00:53.960,00:00:56.800,1350,1421
19,00:00:56.840,00:00:58.600,1422,1466
20,00:00:58.640,00:01:01.040,1467,1527
21,00:01:01.080,00:01:02.480,1528,1563
22,00:01:02.520,00:01:04.200,1564,1606
23,00:01:04.240,00:01:09.800,1607,1746
24,00:01:09.840,00:01:12.040,1747,1802
25,00:01:12.080,00:01:13.360,1803,1835
26,00:01:13.400,00:01:15.400,1836,1886
27,00:01:15.440,00:01:16.880,1887,1923
28,00:01:16.920,00:01:17.680,1924,1943
29,00:01:17.720,00:01:21.640,1944,2042
30,00:01:21.680,00:01:24.760,2043,2120
31,00:01:24.800,00:01:28.600,2121,2216
32,00:01:28.640,00:01:30.760,2217,2270
33,00:01:30.800,00:01:47.560,2271,2690
34,00:01:47.600,00:01:49.840,2691,2747
35,00:01:49.880,00:01:53.360,2748,2835
36,00:01:53.400,00:01:54.960,2836,2875
37,00:01:55.000,00:01:55.800,2876,2896
38,00:01:55.840,00:01:59.200,2897,2981
39,00:01:59.240,00:02:04.200,2982,3106
40,00:02:04.240,00:02:05.520,3107,3139
41,00:02:05.560,00:02:07.960,3140,3200
42,00:02:08.000,00:02:10.280,3201,3258
43,00:02:10.320,00:02:12.920,3259,3324
44,00:02:12.960,00:02:39.880,3325,3998
45,00:02:39.920,00:02:42.760,3999,4070
46,00:02:42.800,00:02:44.360,4071,4110
47,00:02:44.400,00:02:47.400,4111,4186
48,00:02:47.440,00:02:56.080,4187,4403
49,00:02:56.120,00:03:01.560,4404,4540
50,00:03:01.600,00:03:03.440,4541,4587
