No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.920,1,24
2,00:00:00.960,00:00:02.000,25,51
3,00:00:02.040,00:00:03.320,52,84
4,00:00:03.360,00:00:04.680,85,118
5,00:00:04.720,00:00:06.360,119,160
6,00:00:06.400,00:00:08.160,161,205
7,00:00:08.200,00:00:10.240,206,257
8,00:00:10.280,00:00:12.880,258,323
9,00:00:12.920,00:00:14.600,324,366
10,00:00:14.640,00:00:22.440,367,562
11,00:00:22.480,00:00:24.040,563,602
12,00:00:24.080,00:00:25.760,603,645
13,00:00:25.800,00:00:26.880,646,673
14,00:00:26.920,00:00:29.120,674,729
15,00:00:29.160,00:00:36.000,730,901
16,00:00:36.040,00:00:51.640,902,1292
17,00:00:51.680,00:00:54.400,1293,1361
18,00:00:54.440,00:00:57.360,1362,1435
19,00:00:57.400,00:00:59.400,1436,1486
20,00:00:59.440,00:01:07.360,1487,1685
21,00:01:07.400,00:01:12.520,1686,1814
22,00:01:12.560,00:01:14.120,1815,1854
23,00:01:14.160,00:01:16.880,1855,1923
24,00:01:16.920,00:01:17.000,1924,1926
25,00:01:17.040,00:01:19.320,1927,1984
26,00:01:19.360,00:01:24.720,1985,2119
27,00:01:24.760,00:01:27.440,2120,2187
28,00:01:27.480,00:01:35.840,2188,2397
29,00:01:35.880,00:01:40.440,2398,2512
30,00:01:40.480,00:01:46.840,2513,2672
31,00:01:46.880,00:01:50.760,2673,2770
32,00:01:50.800,00:01:51.880,2771,2798
33,00:01:51.920,00:01:54.440,2799,2862
34,00:01:54.480,00:01:55.280,2863,2883
35,00:01:55.320,00:01:56.880,2884,2923
36,00:01:56.920,00:01:57.000,2924,2926
37,00:01:57.040,00:01:59.080,2927,2978
38,00:01:59.120,00:02:01.920,2979,3049
39,00:02:01.960,00:02:03.840,3050,3097
40,00:02:03.880,00:02:06.000,3098,3151
41,00:02:06.040,00:02:08.160,3152,3205
42,00:02:08.200,00:02:09.640,3206,3242
43,00:02:09.680,00:02:13.520,3243,3339
44,00:02:13.560,00:02:28.280,3340,3708
45,00:02:28.320,00:02:33.880,3709,3848
46,00:02:33.920,00:02:39.160,3849,3980
47,00:02:39.200,00:02:43.480,3981,4088
48,00:02:43.520,00:02:50.200,4089,4256
49,00:02:50.240,00:02:55.400,4257,4386
50,00:02:55.440,00:02:57.320,4387,4434
51,00:02:57.360,00:02:58.960,4435,4475
52,00:02:59.000,00:03:03.000,4476,4576
