No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.160,1,30
2,00:00:01.200,00:00:14.680,31,368
3,00:00:14.720,00:00:17.560,369,440
4,00:00:17.600,00:00:20.000,441,501
5,00:00:20.040,00:00:24.160,502,605
6,00:00:24.200,00:00:29.280,606,733
7,00:00:29.320,00:00:33.840,734,847
8,00:00:33.880,00:00:38.280,848,958
9,00:00:38.320,00:00:41.400,959,1036
10,00:00:41.440,00:00:49.040,1037,1227
11,00:00:49.080,00:01:00.720,1228,1519
12,00:01:00.760,00:01:04.040,1520,1602
13,00:01:04.080,00:01:06.640,1603,1667
14,00:01:06.680,00:01:09.920,1668,1749
15,00:01:09.960,00:01:23.400,1750,2086
16,00:01:23.440,00:01:28.680,2087,2218
17,00:01:28.720,00:01:32.360,2219,2310
18,00:01:32.400,00:01:47.600,2311,2691
19,00:01:47.640,00:01:50.040,2692,2752
20,00:01:50.080,00:01:52.160,2753,2805
