No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.400,1,86
2,00:00:03.440,00:00:07.000,87,176
3,00:00:07.040,00:00:11.760,177,295
4,00:00:11.800,00:00:16.440,296,412
5,00:00:16.480,00:00:19.760,413,495
6,00:00:19.800,00:00:31.480,496,788
7,00:00:31.520,00:00:34.520,789,864
8,00:00:34.560,00:00:38.400,865,961
9,00:00:38.440,00:00:49.960,962,1250
10,00:00:50.000,00:00:53.880,1251,1348
11,00:00:53.920,00:01:00.680,1349,1518
12,00:01:00.720,00:01:09.080,1519,1728
13,00:01:09.120,00:01:17.120,1729,1929
14,00:01:17.160,00:01:44.040,1930,2602
15,00:01:44.080,00:01:51.880,2603,2798
16,00:01:51.920,00:01:57.440,2799,2937
17,00:01:57.480,00:02:00.080,2938,3003
18,00:02:00.120,00:02:13.600,3004,3341
19,00:02:13.640,00:02:15.640,3342,3392
20,00:02:15.680,00:02:20.560,3393,3515
21,00:02:20.600,00:02:22.880,3516,3573
22,00:02:22.920,00:02:27.320,3574,3684
23,00:02:27.360,00:02:39.320,3685,3984
24,00:02:39.360,00:02:45.640,3985,4142
25,00:02:45.680,00:02:49.120,4143,4229
26,00:02:49.160,00:02:53.320,4230,4334
27,00:02:53.360,00:03:04.360,4335,4610
28,00:03:04.400,00:03:08.400,4611,4711
29,00:03:08.440,00:03:15.720,4712,4894
30,00:03:15.760,00:03:20.360,4895,5010
31,00:03:20.400,00:03:31.840,5011,5297
