No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.760,1,95
2,00:00:03.800,00:00:09.040,96,227
3,00:00:09.080,00:00:14.080,228,353
4,00:00:14.120,00:00:21.360,354,535
5,00:00:21.400,00:00:27.960,536,700
6,00:00:28.000,00:00:29.720,701,744
7,00:00:29.760,00:00:34.840,745,872
8,00:00:34.880,00:00:40.240,873,1007
9,00:00:40.280,00:00:46.520,1008,1164
10,00:00:46.560,00:00:49.480,1165,1238
11,00:00:49.520,00:00:54.000,1239,1351
12,00:00:54.040,00:01:00.720,1352,1519
13,00:01:00.760,00:01:04.120,1520,1604
14,00:01:04.160,00:01:09.360,1605,1735
15,00:01:09.400,00:01:16.720,1736,1919
16,00:01:16.760,00:01:20.400,1920,2011
17,00:01:20.440,00:01:23.960,2012,2100
18,00:01:24.000,00:01:37.600,2101,2441
19,00:01:37.640,00:01:43.160,2442,2580
20,00:01:43.200,00:01:47.280,2581,2683
21,00:01:47.320,00:01:50.200,2684,2756
22,00:01:50.240,00:01:54.920,2757,2874
23,00:01:54.960,00:01:59.440,2875,2987
24,00:01:59.480,00:02:04.200,2988,3106
25,00:02:04.240,00:02:05.840,3107,3147
26,00:02:05.880,00:02:06.720,3148,3169
27,00:02:06.760,00:02:08.960,3170,3225
28,00:02:09.000,00:02:10.560,3226,3265
29,00:02:10.600,00:02:12.560,3266,3315
30,00:02:12.600,00:02:15.480,3316,3388
31,00:02:15.520,00:02:19.680,3389,3493
32,00:02:19.720,00:02:30.680,3494,3768
33,00:02:30.720,00:02:34.520,3769,3864
34,00:02:34.560,00:02:37.640,3865,3942
35,00:02:37.680,00:02:38.960,3943,3975
36,00:02:39.000,00:02:42.840,3976,4072
37,00:02:42.880,00:02:44.360,4073,4110
38,00:02:44.400,00:02:47.120,4111,4179
39,00:02:47.160,00:02:50.600,4180,4266
40,00:02:50.640,00:02:52.160,4267,4305
41,00:02:52.200,00:02:57.920,4306,4449
42,00:02:57.960,00:03:06.200,4450,4656
43,00:03:06.240,00:03:08.480,4657,4713
44,00:03:08.520,00:03:10.560,4714,4765
45,00:03:10.600,00:03:15.080,4766,4878
46,00:03:15.120,00:03:18.320,4879,4959
47,00:03:18.360,00:03:20.920,4960,5024
48,00:03:20.960,00:03:25.040,5025,5127
49,00:03:25.080,00:03:27.640,5128,5192
50,00:03:27.680,00:03:31.560,5193,5290
51,00:03:31.600,00:03:36.440,5291,5412
52,00:03:36.480,00:03:37.760,5413,5445
53,00:03:37.800,00:03:42.440,5446,5562
