No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.400,1,11
2,00:00:00.440,00:00:03.840,12,97
3,00:00:03.880,00:00:07.400,98,186
4,00:00:07.440,00:00:11.160,187,280
5,00:00:11.200,00:00:14.520,281,364
6,00:00:14.560,00:00:17.600,365,441
7,00:00:17.640,00:00:23.600,442,591
8,00:00:23.640,00:00:31.200,592,781
9,00:00:31.240,00:00:33.640,782,842
10,00:00:33.680,00:00:39.720,843,994
11,00:00:39.760,00:00:42.600,995,1066
12,00:00:42.640,00:00:50.160,1067,1255
13,00:00:50.200,00:00:56.120,1256,1404
14,00:00:56.160,00:00:57.960,1405,1450
15,00:00:58.000,00:01:00.720,1451,1519
16,00:01:00.760,00:01:03.800,1520,1596
17,00:01:03.840,00:01:05.320,1597,1634
18,00:01:05.360,00:01:06.840,1635,1672
