No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.720,1,119
2,00:00:04.760,00:00:06.840,120,172
3,00:00:06.880,00:00:09.720,173,244
4,00:00:09.760,00:00:12.080,245,303
5,00:00:12.120,00:00:14.280,304,358
6,00:00:14.320,00:00:17.000,359,426
7,00:00:17.040,00:00:19.200,427,481
8,00:00:19.240,00:00:21.720,482,544
9,00:00:21.760,00:00:25.360,545,635
10,00:00:25.400,00:00:28.080,636,703
11,00:00:28.120,00:00:30.280,704,758
12,00:00:30.320,00:00:34.320,759,859
13,00:00:34.360,00:00:36.560,860,915
14,00:00:36.600,00:00:39.360,916,985
15,00:00:39.400,00:00:41.360,986,1035
16,00:00:41.400,00:00:43.480,1036,1088
17,00:00:43.520,00:00:52.560,1089,1315
18,00:00:52.600,00:01:01.880,1316,1548
19,00:01:01.920,00:01:06.400,1549,1661
20,00:01:06.440,00:01:12.240,1662,1807
21,00:01:12.280,00:01:16.600,1808,1916
22,00:01:16.640,00:01:19.840,1917,1997
23,00:01:19.880,00:01:22.480,1998,2063
24,00:01:22.520,00:01:24.040,2064,2102
25,00:01:24.080,00:01:28.040,2103,2202
26,00:01:28.080,00:01:31.520,2203,2289
27,00:01:31.560,00:01:33.720,2290,2344
28,00:01:33.760,00:01:35.200,2345,2381
29,00:01:35.240,00:01:37.840,2382,2447
30,00:01:37.880,00:01:40.880,2448,2523
31,00:01:40.920,00:01:43.480,2524,2588
