No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.320,1,109
2,00:00:04.360,00:00:05.480,110,138
3,00:00:05.520,00:00:06.960,139,175
4,00:00:07.000,00:00:08.440,176,212
5,00:00:08.480,00:00:12.320,213,309
6,00:00:12.360,00:00:14.440,310,362
7,00:00:14.480,00:00:18.720,363,469
8,00:00:18.760,00:00:21.200,470,531
9,00:00:21.240,00:00:25.760,532,645
10,00:00:25.800,00:00:27.240,646,682
11,00:00:27.280,00:00:29.560,683,740
12,00:00:29.600,00:00:30.880,741,773
13,00:00:30.920,00:00:32.600,774,816
14,00:00:32.640,00:00:33.760,817,845
15,00:00:33.800,00:00:35.480,846,888
16,00:00:35.520,00:00:36.920,889,924
17,00:00:36.960,00:00:38.360,925,960
18,00:00:38.400,00:00:39.760,961,995
19,00:00:39.800,00:00:41.080,996,1028
20,00:00:41.120,00:00:42.040,1029,1052
21,00:00:42.080,00:00:43.000,1053,1076
22,00:00:43.040,00:00:45.800,1077,1146
23,00:00:45.840,00:00:46.720,1147,1169
24,00:00:46.760,00:00:48.280,1170,1208
25,00:00:48.320,00:00:49.800,1209,1246
26,00:00:49.840,00:00:51.040,1247,1277
27,00:00:51.080,00:00:53.760,1278,1345
