No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.160,1,30
2,00:00:01.200,00:00:03.000,31,76
3,00:00:03.040,00:00:04.440,77,112
4,00:00:04.480,00:00:06.680,113,168
5,00:00:06.720,00:00:09.800,169,246
6,00:00:09.840,00:00:11.040,247,277
7,00:00:11.080,00:00:12.720,278,319
8,00:00:12.760,00:00:14.440,320,362
9,00:00:14.480,00:00:15.760,363,395
10,00:00:15.800,00:00:16.960,396,425
11,00:00:17.000,00:00:19.760,426,495
12,00:00:19.800,00:00:28.000,496,701
13,00:00:28.040,00:00:31.360,702,785
14,00:00:31.400,00:00:34.120,786,854
15,00:00:34.160,00:00:35.440,855,887
16,00:00:35.480,00:00:37.680,888,943
17,00:00:37.720,00:00:41.920,944,1049
18,00:00:41.960,00:00:47.440,1050,1187
19,00:00:47.480,00:00:49.840,1188,1247
20,00:00:49.880,00:00:51.280,1248,1283
21,00:00:51.320,00:00:53.240,1284,1332
22,00:00:53.280,00:00:55.120,1333,1379
23,00:00:55.160,00:00:56.160,1380,1405
