No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:06.400,1,161
2,00:00:06.440,00:00:17.520,162,439
3,00:00:17.560,00:00:19.800,440,496
4,00:00:19.840,00:00:22.440,497,562
5,00:00:22.480,00:00:29.520,563,739
6,00:00:29.560,00:00:35.600,740,891
7,00:00:35.640,00:00:37.880,892,948
8,00:00:37.920,00:00:42.480,949,1063
9,00:00:42.520,00:00:43.880,1064,1098
10,00:00:43.920,00:00:49.000,1099,1226
11,00:00:49.040,00:00:51.400,1227,1286
12,00:00:51.440,00:01:00.560,1287,1515
13,00:01:00.600,00:01:04.600,1516,1616
14,00:01:04.640,00:01:08.480,1617,1713
15,00:01:08.520,00:01:10.640,1714,1767
16,00:01:10.680,00:01:14.240,1768,1857
17,00:01:14.280,00:01:23.320,1858,2084
18,00:01:23.360,00:01:27.080,2085,2178
19,00:01:27.120,00:01:27.880,2179,2198
20,00:01:27.920,00:01:29.520,2199,2239
21,00:01:29.560,00:01:43.040,2240,2577
22,00:01:43.080,00:01:45.960,2578,2650
23,00:01:46.000,00:01:51.040,2651,2777
24,00:01:51.080,00:01:53.240,2778,2832
25,00:01:53.280,00:01:57.520,2833,2939
26,00:01:57.560,00:02:01.640,2940,3042
27,00:02:01.680,00:02:05.880,3043,3148
28,00:02:05.920,00:02:09.920,3149,3249
29,00:02:09.960,00:02:13.440,3250,3337
30,00:02:13.480,00:02:16.040,3338,3402
31,00:02:16.080,00:02:20.960,3403,3525
32,00:02:21.000,00:02:24.280,3526,3608
33,00:02:24.320,00:02:32.920,3609,3824
