No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.080,1,3
2,00:00:00.120,00:00:01.760,4,45
3,00:00:01.800,00:00:04.360,46,110
4,00:00:04.400,00:00:08.920,111,224
5,00:00:08.960,00:00:10.080,225,253
6,00:00:10.120,00:00:11.200,254,281
7,00:00:11.240,00:00:16.320,282,409
8,00:00:16.360,00:00:17.560,410,440
9,00:00:17.600,00:00:18.480,441,463
10,00:00:18.520,00:00:19.880,464,498
11,00:00:19.920,00:00:21.440,499,537
12,00:00:21.480,00:00:24.040,538,602
13,00:00:24.080,00:00:26.040,603,652
14,00:00:26.080,00:00:27.720,653,694
15,00:00:27.760,00:00:31.720,695,794
16,00:00:31.760,00:00:35.280,795,883
17,00:00:35.320,00:00:37.520,884,939
18,00:00:37.560,00:00:38.760,940,970
