No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.560,1,90
2,00:00:03.600,00:00:08.120,91,204
3,00:00:08.160,00:00:10.240,205,257
4,00:00:10.280,00:00:14.640,258,367
5,00:00:14.680,00:00:16.880,368,423
6,00:00:16.920,00:00:20.120,424,504
7,00:00:20.160,00:00:22.240,505,557
8,00:00:22.280,00:00:25.600,558,641
9,00:00:25.640,00:00:29.200,642,731
10,00:00:29.240,00:00:32.560,732,815
11,00:00:32.600,00:00:34.080,816,853
12,00:00:34.120,00:00:41.680,854,1043
13,00:00:41.720,00:00:45.560,1044,1140
14,00:00:45.600,00:00:47.040,1141,1177
15,00:00:47.080,00:00:51.600,1178,1291
16,00:00:51.640,00:00:52.600,1292,1316
17,00:00:52.640,00:00:54.720,1317,1369
18,00:00:54.760,00:00:56.440,1370,1412
19,00:00:56.480,00:01:01.600,1413,1541
20,00:01:01.640,00:01:08.200,1542,1706
21,00:01:08.240,00:01:10.000,1707,1751
22,00:01:10.040,00:01:11.920,1752,1799
23,00:01:11.960,00:01:14.160,1800,1855
24,00:01:14.200,00:01:16.000,1856,1901
