No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.000,1,26
2,00:00:01.040,00:00:02.960,27,75
3,00:00:03.000,00:00:04.920,76,124
4,00:00:04.960,00:00:05.920,125,149
5,00:00:05.960,00:00:07.200,150,181
6,00:00:07.240,00:00:08.200,182,206
7,00:00:08.240,00:00:09.480,207,238
8,00:00:09.520,00:00:16.320,239,409
9,00:00:16.360,00:00:17.880,410,448
10,00:00:17.920,00:00:19.560,449,490
11,00:00:19.600,00:00:21.360,491,535
12,00:00:21.400,00:00:23.680,536,593
13,00:00:23.720,00:00:25.360,594,635
14,00:00:25.400,00:00:28.680,636,718
15,00:00:28.720,00:00:30.440,719,762
16,00:00:30.480,00:00:32.680,763,818
17,00:00:32.720,00:00:35.320,819,884
18,00:00:35.360,00:00:37.040,885,927
19,00:00:37.080,00:00:38.000,928,951
20,00:00:38.040,00:00:39.040,952,977
21,00:00:39.080,00:00:40.040,978,1002
22,00:00:40.080,00:00:41.560,1003,1040
23,00:00:41.600,00:00:43.960,1041,1100
24,00:00:44.000,00:00:45.600,1101,1141
25,00:00:45.640,00:00:48.080,1142,1203
26,00:00:48.120,00:00:50.320,1204,1259
27,00:00:50.360,00:00:52.520,1260,1314
28,00:00:52.560,00:00:55.920,1315,1399
29,00:00:55.960,00:00:58.360,1400,1460
30,00:00:58.400,00:01:00.120,1461,1504
31,00:01:00.160,00:01:01.600,1505,1541
32,00:01:01.640,00:01:07.560,1542,1690
33,00:01:07.600,00:01:11.080,1691,1778
34,00:01:11.120,00:01:14.680,1779,1868
35,00:01:14.720,00:01:18.480,1869,1963
36,00:01:18.520,00:01:21.560,1964,2040
37,00:01:21.600,00:01:23.840,2041,2097
38,00:01:23.880,00:01:25.840,2098,2147
39,00:01:25.880,00:01:32.040,2148,2302
40,00:01:32.080,00:01:34.440,2303,2362
41,00:01:34.480,00:01:37.560,2363,2440
42,00:01:37.600,00:01:39.280,2441,2483
43,00:01:39.320,00:01:48.160,2484,2705
