No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.320,1,134
2,00:00:05.360,00:00:06.760,135,170
3,00:00:06.800,00:00:12.360,171,310
4,00:00:12.400,00:00:14.360,311,360
5,00:00:14.400,00:00:17.760,361,445
6,00:00:17.800,00:00:20.680,446,518
7,00:00:20.720,00:00:22.120,519,554
8,00:00:22.160,00:00:23.280,555,583
9,00:00:23.320,00:00:27.280,584,683
10,00:00:27.320,00:00:28.600,684,716
11,00:00:28.640,00:00:31.320,717,784
12,00:00:31.360,00:00:33.320,785,834
13,00:00:33.360,00:00:35.400,835,886
14,00:00:35.440,00:00:37.120,887,929
15,00:00:37.160,00:00:42.760,930,1070
16,00:00:42.800,00:00:46.920,1071,1174
17,00:00:46.960,00:00:48.160,1175,1205
18,00:00:48.200,00:00:49.600,1206,1241
19,00:00:49.640,00:00:51.920,1242,1299
20,00:00:51.960,00:00:54.760,1300,1370
21,00:00:54.800,00:00:59.040,1371,1477
22,00:00:59.080,00:01:00.600,1478,1516
23,00:01:00.640,00:01:04.760,1517,1620
24,00:01:04.800,00:01:08.960,1621,1725
25,00:01:09.000,00:01:12.240,1726,1807
26,00:01:12.280,00:01:13.920,1808,1849
27,00:01:13.960,00:01:16.480,1850,1913
28,00:01:16.520,00:01:18.680,1914,1968
29,00:01:18.720,00:01:21.400,1969,2036
30,00:01:21.440,00:01:23.680,2037,2093
31,00:01:23.720,00:01:25.400,2094,2136
