No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.920,1,74
2,00:00:02.960,00:00:04.800,75,121
3,00:00:04.840,00:00:06.640,122,167
4,00:00:06.680,00:00:07.520,168,189
5,00:00:07.560,00:00:08.240,190,207
6,00:00:08.280,00:00:08.920,208,224
7,00:00:08.960,00:00:09.720,225,244
8,00:00:09.760,00:00:11.800,245,296
9,00:00:11.840,00:00:13.520,297,339
10,00:00:13.560,00:00:15.240,340,382
11,00:00:15.280,00:00:17.400,383,436
12,00:00:17.440,00:00:20.000,437,501
13,00:00:20.040,00:00:21.880,502,548
14,00:00:21.920,00:00:23.720,549,594
15,00:00:23.760,00:00:29.560,595,740
16,00:00:29.600,00:00:31.160,741,780
17,00:00:31.200,00:00:32.800,781,821
18,00:00:32.840,00:00:34.240,822,857
19,00:00:34.280,00:00:35.840,858,897
20,00:00:35.880,00:00:37.480,898,938
21,00:00:37.520,00:00:40.080,939,1003
22,00:00:40.120,00:00:43.760,1004,1095
23,00:00:43.800,00:00:45.720,1096,1144
24,00:00:45.760,00:00:48.960,1145,1225
25,00:00:49.000,00:00:51.000,1226,1276
26,00:00:51.040,00:00:52.880,1277,1323
27,00:00:52.920,00:00:54.240,1324,1357
28,00:00:54.280,00:00:56.760,1358,1420
29,00:00:56.800,00:00:57.560,1421,1440
30,00:00:57.600,00:01:01.040,1441,1527
31,00:01:01.080,00:01:03.240,1528,1582
32,00:01:03.280,00:01:07.440,1583,1687
33,00:01:07.480,00:01:09.680,1688,1743
34,00:01:09.720,00:01:18.880,1744,1973
35,00:01:18.920,00:01:20.160,1974,2005
36,00:01:20.200,00:01:22.400,2006,2061
37,00:01:22.440,00:01:24.200,2062,2106
38,00:01:24.240,00:01:28.000,2107,2201
39,00:01:28.040,00:01:36.360,2202,2410
40,00:01:36.400,00:01:39.320,2411,2484
41,00:01:39.360,00:01:41.640,2485,2542
42,00:01:41.680,00:01:46.640,2543,2667
43,00:01:46.680,00:01:53.800,2668,2846
44,00:01:53.840,00:02:02.760,2847,3070
45,00:02:02.800,00:02:10.920,3071,3274
46,00:02:10.960,00:02:15.320,3275,3384
47,00:02:15.360,00:02:18.480,3385,3463
48,00:02:18.520,00:02:19.880,3464,3498
49,00:02:19.920,00:02:21.400,3499,3536
50,00:02:21.440,00:02:23.760,3537,3595
51,00:02:23.800,00:02:25.960,3596,3650
52,00:02:26.000,00:02:27.120,3651,3679
53,00:02:27.160,00:02:32.840,3680,3822
54,00:02:32.880,00:02:38.240,3823,3957
55,00:02:38.280,00:02:40.040,3958,4002
56,00:02:40.080,00:02:43.680,4003,4093
57,00:02:43.720,00:02:46.400,4094,4161
58,00:02:46.440,00:02:53.240,4162,4332
59,00:02:53.280,00:02:55.040,4333,4377
60,00:02:55.080,00:02:57.320,4378,4434
61,00:02:57.360,00:02:58.600,4435,4466
