No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.120,1,29
2,00:00:01.160,00:00:02.480,30,63
3,00:00:02.520,00:00:04.680,64,118
4,00:00:04.720,00:00:06.400,119,161
5,00:00:06.440,00:00:09.240,162,232
6,00:00:09.280,00:00:10.840,233,272
7,00:00:10.880,00:00:11.960,273,300
8,00:00:12.000,00:00:15.560,301,390
9,00:00:15.600,00:00:16.760,391,420
10,00:00:16.800,00:00:18.040,421,452
11,00:00:18.080,00:00:19.360,453,485
12,00:00:19.400,00:00:20.760,486,520
13,00:00:20.800,00:00:25.080,521,628
14,00:00:25.120,00:00:27.880,629,698
15,00:00:27.920,00:00:29.240,699,732
16,00:00:29.280,00:00:30.760,733,770
17,00:00:30.800,00:00:33.920,771,849
18,00:00:33.960,00:00:35.000,850,876
19,00:00:35.040,00:00:36.920,877,924
20,00:00:36.960,00:00:38.640,925,967
21,00:00:38.680,00:00:40.880,968,1023
22,00:00:40.920,00:00:43.840,1024,1097
23,00:00:43.880,00:00:45.360,1098,1135
24,00:00:45.400,00:00:47.200,1136,1181
25,00:00:47.240,00:00:50.680,1182,1268
26,00:00:50.720,00:00:53.240,1269,1332
27,00:00:53.280,00:00:54.760,1333,1370
28,00:00:54.800,00:00:56.400,1371,1411
29,00:00:56.440,00:00:58.160,1412,1455
30,00:00:58.200,00:00:59.240,1456,1482
31,00:00:59.280,00:01:00.480,1483,1513
32,00:01:00.520,00:01:01.600,1514,1541
33,00:01:01.640,00:01:03.320,1542,1584
34,00:01:03.360,00:01:06.400,1585,1661
35,00:01:06.440,00:01:08.120,1662,1704
36,00:01:08.160,00:01:10.200,1705,1756
37,00:01:10.240,00:01:11.840,1757,1797
38,00:01:11.880,00:01:13.560,1798,1840
39,00:01:13.600,00:01:15.120,1841,1879
40,00:01:15.160,00:01:16.800,1880,1921
41,00:01:16.840,00:01:18.080,1922,1953
42,00:01:18.120,00:01:19.400,1954,1986
43,00:01:19.440,00:01:20.920,1987,2024
44,00:01:20.960,00:01:22.440,2025,2062
45,00:01:22.480,00:01:24.040,2063,2102
46,00:01:24.080,00:01:26.480,2103,2163
47,00:01:26.520,00:01:27.760,2164,2195
48,00:01:27.800,00:01:29.040,2196,2227
49,00:01:29.080,00:01:30.440,2228,2262
50,00:01:30.480,00:01:32.120,2263,2304
51,00:01:32.160,00:01:33.440,2305,2337
52,00:01:33.480,00:01:35.040,2338,2377
53,00:01:35.080,00:01:36.400,2378,2411
54,00:01:36.440,00:01:38.320,2412,2459
55,00:01:38.360,00:01:40.120,2460,2504
56,00:01:40.160,00:01:42.040,2505,2552
57,00:01:42.080,00:01:43.080,2553,2578
58,00:01:43.120,00:01:47.440,2579,2687
59,00:01:47.480,00:01:49.120,2688,2729
60,00:01:49.160,00:01:51.120,2730,2779
61,00:01:51.160,00:01:53.320,2780,2834
62,00:01:53.360,00:01:54.480,2835,2863
63,00:01:54.520,00:01:56.040,2864,2902
64,00:01:56.080,00:01:58.040,2903,2952
65,00:01:58.080,00:02:00.680,2953,3018
66,00:02:00.720,00:02:03.120,3019,3079
67,00:02:03.160,00:02:05.040,3080,3127
68,00:02:05.080,00:02:07.320,3128,3184
69,00:02:07.360,00:02:09.240,3185,3232
70,00:02:09.280,00:02:13.320,3233,3334
71,00:02:13.360,00:02:16.440,3335,3412
72,00:02:16.480,00:02:19.120,3413,3479
73,00:02:19.160,00:02:20.200,3480,3506
74,00:02:20.240,00:02:21.640,3507,3542
