No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.320,1,9
2,00:00:00.360,00:00:07.520,10,189
3,00:00:07.560,00:00:10.800,190,271
4,00:00:10.840,00:00:14.800,272,371
5,00:00:14.840,00:00:19.520,372,489
6,00:00:19.560,00:00:21.640,490,542
7,00:00:21.680,00:00:24.600,543,616
8,00:00:24.640,00:00:26.880,617,673
9,00:00:26.920,00:00:33.280,674,833
10,00:00:33.320,00:00:38.280,834,958
11,00:00:38.320,00:00:44.040,959,1102
12,00:00:44.080,00:00:47.920,1103,1199
13,00:00:47.960,00:00:55.720,1200,1394
14,00:00:55.760,00:01:01.920,1395,1549
15,00:01:01.960,00:01:04.320,1550,1609
16,00:01:04.360,00:01:19.480,1610,1988
17,00:01:19.520,00:01:26.360,1989,2160
18,00:01:26.400,00:01:28.440,2161,2212
19,00:01:28.480,00:01:28.640,2213,2217
20,00:01:28.680,00:01:30.680,2218,2268
21,00:01:30.720,00:01:31.160,2269,2280
22,00:01:31.200,00:01:34.240,2281,2357
23,00:01:34.280,00:01:36.040,2358,2402
24,00:01:36.080,00:01:37.880,2403,2448
25,00:01:37.920,00:01:40.280,2449,2508
26,00:01:40.320,00:01:44.400,2509,2611
27,00:01:44.440,00:01:45.960,2612,2650
28,00:01:46.000,00:01:52.960,2651,2825
29,00:01:53.000,00:01:53.800,2826,2846
30,00:01:53.840,00:01:56.280,2847,2908
31,00:01:56.320,00:01:58.760,2909,2970
32,00:01:58.800,00:02:04.360,2971,3110
33,00:02:04.400,00:02:13.560,3111,3340
34,00:02:13.600,00:02:15.560,3341,3390
35,00:02:15.600,00:02:16.800,3391,3421
36,00:02:16.840,00:02:18.560,3422,3465
37,00:02:18.600,00:02:22.680,3466,3568
38,00:02:22.720,00:02:25.840,3569,3647
39,00:02:25.880,00:02:26.440,3648,3662
40,00:02:26.480,00:02:30.800,3663,3771
