No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.280,1,33
2,00:00:01.320,00:00:03.240,34,82
3,00:00:03.280,00:00:04.160,83,105
4,00:00:04.200,00:00:04.880,106,123
5,00:00:04.920,00:00:05.840,124,147
6,00:00:05.880,00:00:06.800,148,171
7,00:00:06.840,00:00:07.720,172,194
8,00:00:07.760,00:00:08.960,195,225
9,00:00:09.000,00:00:09.520,226,239
10,00:00:09.560,00:00:10.520,240,264
11,00:00:10.560,00:00:12.600,265,316
12,00:00:12.640,00:00:13.920,317,349
13,00:00:13.960,00:00:15.000,350,376
14,00:00:15.040,00:00:16.280,377,408
15,00:00:16.320,00:00:17.040,409,427
16,00:00:17.080,00:00:18.200,428,456
17,00:00:18.240,00:00:19.320,457,484
18,00:00:19.360,00:00:20.360,485,510
19,00:00:20.400,00:00:22.280,511,558
20,00:00:22.320,00:00:23.400,559,586
21,00:00:23.440,00:00:24.520,587,614
22,00:00:24.560,00:00:25.480,615,638
23,00:00:25.520,00:00:26.280,639,658
24,00:00:26.320,00:00:27.160,659,680
25,00:00:27.200,00:00:28.160,681,705
26,00:00:28.200,00:00:29.360,706,735
27,00:00:29.400,00:00:30.400,736,761
28,00:00:30.440,00:00:31.800,762,796
29,00:00:31.840,00:00:33.760,797,845
30,00:00:33.800,00:00:35.280,846,883
31,00:00:35.320,00:00:36.600,884,916
32,00:00:36.640,00:00:38.760,917,970
33,00:00:38.800,00:00:39.760,971,995
34,00:00:39.800,00:00:41.560,996,1040
35,00:00:41.600,00:00:42.840,1041,1072
36,00:00:42.880,00:00:44.840,1073,1122
37,00:00:44.880,00:00:45.840,1123,1147
38,00:00:45.880,00:00:47.320,1148,1184
39,00:00:47.360,00:00:48.400,1185,1211
40,00:00:48.440,00:00:50.160,1212,1255
41,00:00:50.200,00:00:51.240,1256,1282
42,00:00:51.280,00:00:52.840,1283,1322
43,00:00:52.880,00:00:55.160,1323,1380
44,00:00:55.200,00:00:56.120,1381,1404
45,00:00:56.160,00:00:57.600,1405,1441
46,00:00:57.640,00:00:59.920,1442,1499
47,00:00:59.960,00:01:01.800,1500,1546
48,00:01:01.840,00:01:02.760,1547,1570
49,00:01:02.800,00:01:04.600,1571,1616
50,00:01:04.640,00:01:06.080,1617,1653
51,00:01:06.120,00:01:07.440,1654,1687
