No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.280,1,33
2,00:00:01.320,00:00:02.680,34,68
3,00:00:02.720,00:00:03.840,69,97
4,00:00:03.880,00:00:05.080,98,128
5,00:00:05.120,00:00:07.640,129,192
6,00:00:07.680,00:00:10.080,193,253
7,00:00:10.120,00:00:11.960,254,300
8,00:00:12.000,00:00:14.440,301,362
9,00:00:14.480,00:00:17.760,363,445
10,00:00:17.800,00:00:20.440,446,512
11,00:00:20.480,00:00:23.240,513,582
12,00:00:23.280,00:00:25.280,583,633
13,00:00:25.320,00:00:26.680,634,668
14,00:00:26.720,00:00:29.120,669,729
15,00:00:29.160,00:00:30.200,730,756
16,00:00:30.240,00:00:31.360,757,785
17,00:00:31.400,00:00:38.800,786,971
18,00:00:38.840,00:00:41.840,972,1047
19,00:00:41.880,00:00:45.360,1048,1135
20,00:00:45.400,00:00:47.920,1136,1199
21,00:00:47.960,00:00:49.360,1200,1235
22,00:00:49.400,00:00:50.920,1236,1274
23,00:00:50.960,00:00:58.920,1275,1474
24,00:00:58.960,00:01:01.360,1475,1535
25,00:01:01.400,00:01:03.160,1536,1580
26,00:01:03.200,00:01:05.480,1581,1638
27,00:01:05.520,00:01:10.520,1639,1764
