No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.200,1,131
2,00:00:05.240,00:00:11.600,132,291
3,00:00:11.640,00:00:16.760,292,420
4,00:00:16.800,00:00:24.840,421,622
5,00:00:24.880,00:00:29.640,623,742
6,00:00:29.680,00:00:36.600,743,916
7,00:00:36.640,00:00:44.120,917,1104
8,00:00:44.160,00:00:48.960,1105,1225
9,00:00:49.000,00:00:54.480,1226,1363
10,00:00:54.520,00:00:59.280,1364,1483
11,00:00:59.320,00:01:04.880,1484,1623
12,00:01:04.920,00:01:09.240,1624,1732
13,00:01:09.280,00:01:13.680,1733,1843
14,00:01:13.720,00:01:18.120,1844,1954
15,00:01:18.160,00:01:21.240,1955,2032
16,00:01:21.280,00:01:23.760,2033,2095
