No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.440,1,87
2,00:00:03.480,00:00:12.440,88,312
3,00:00:12.480,00:00:14.920,313,374
4,00:00:14.960,00:00:16.320,375,409
5,00:00:16.360,00:00:18.040,410,452
6,00:00:18.080,00:00:20.120,453,504
7,00:00:20.160,00:00:22.600,505,566
8,00:00:22.640,00:00:25.120,567,629
9,00:00:25.160,00:00:28.560,630,715
10,00:00:28.600,00:00:30.920,716,774
11,00:00:30.960,00:00:32.760,775,820
12,00:00:32.800,00:00:35.520,821,889
13,00:00:35.560,00:00:37.800,890,946
14,00:00:37.840,00:00:39.440,947,987
15,00:00:39.480,00:00:44.160,988,1105
16,00:00:44.200,00:00:47.080,1106,1178
17,00:00:47.120,00:00:48.600,1179,1216
18,00:00:48.640,00:00:50.520,1217,1264
19,00:00:50.560,00:00:53.080,1265,1328
20,00:00:53.120,00:00:54.480,1329,1363
21,00:00:54.520,00:00:57.600,1364,1441
22,00:00:57.640,00:00:59.760,1442,1495
23,00:00:59.800,00:01:01.280,1496,1533
24,00:01:01.320,00:01:02.920,1534,1574
25,00:01:02.960,00:01:04.520,1575,1614
26,00:01:04.560,00:01:06.480,1615,1663
27,00:01:06.520,00:01:08.560,1664,1715
28,00:01:08.600,00:01:10.640,1716,1767
29,00:01:10.680,00:01:14.040,1768,1852
30,00:01:14.080,00:01:16.280,1853,1908
31,00:01:16.320,00:01:20.600,1909,2016
32,00:01:20.640,00:01:22.160,2017,2055
33,00:01:22.200,00:01:24.720,2056,2119
34,00:01:24.760,00:01:27.120,2120,2179
35,00:01:27.160,00:01:29.080,2180,2228
36,00:01:29.120,00:01:33.200,2229,2331
37,00:01:33.240,00:01:34.720,2332,2369
38,00:01:34.760,00:01:37.680,2370,2443
39,00:01:37.720,00:01:39.440,2444,2487
40,00:01:39.480,00:01:41.080,2488,2528
41,00:01:41.120,00:01:43.600,2529,2591
42,00:01:43.640,00:01:45.480,2592,2638
43,00:01:45.520,00:01:48.440,2639,2712
44,00:01:48.480,00:01:51.120,2713,2779
45,00:01:51.160,00:01:53.840,2780,2847
46,00:01:53.880,00:01:57.000,2848,2926
47,00:01:57.040,00:01:58.800,2927,2971
48,00:01:58.840,00:02:00.120,2972,3004
49,00:02:00.160,00:02:02.280,3005,3058
50,00:02:02.320,00:02:05.880,3059,3148
51,00:02:05.920,00:02:07.240,3149,3182
52,00:02:07.280,00:02:09.080,3183,3228
53,00:02:09.120,00:02:11.720,3229,3294
54,00:02:11.760,00:02:13.400,3295,3336
55,00:02:13.440,00:02:14.960,3337,3375
56,00:02:15.000,00:02:17.840,3376,3447
57,00:02:17.880,00:02:22.800,3448,3571
58,00:02:22.840,00:02:25.760,3572,3645
59,00:02:25.800,00:02:26.960,3646,3675
60,00:02:27.000,00:02:28.440,3676,3712
61,00:02:28.480,00:02:29.680,3713,3743
62,00:02:29.720,00:02:31.320,3744,3784
63,00:02:31.360,00:02:32.240,3785,3807
64,00:02:32.280,00:02:33.600,3808,3841
65,00:02:33.640,00:02:38.040,3842,3952
66,00:02:38.080,00:02:39.080,3953,3978
67,00:02:39.120,00:02:39.960,3979,4000
68,00:02:40.000,00:02:40.960,4001,4025
69,00:02:41.000,00:02:43.320,4026,4084
70,00:02:43.360,00:02:45.440,4085,4137
71,00:02:45.480,00:02:45.840,4138,4147
