No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.440,1,112
2,00:00:04.480,00:00:06.160,113,155
3,00:00:06.200,00:00:08.200,156,206
4,00:00:08.240,00:00:14.680,207,368
5,00:00:14.720,00:00:17.920,369,449
6,00:00:17.960,00:00:25.280,450,633
7,00:00:25.320,00:00:27.280,634,683
8,00:00:27.320,00:00:28.720,684,719
9,00:00:28.760,00:00:29.720,720,744
10,00:00:29.760,00:00:31.880,745,798
11,00:00:31.920,00:00:33.800,799,846
12,00:00:33.840,00:00:35.200,847,881
13,00:00:35.240,00:00:38.840,882,972
14,00:00:38.880,00:00:39.840,973,997
15,00:00:39.880,00:00:41.280,998,1033
16,00:00:41.320,00:00:43.320,1034,1084
17,00:00:43.360,00:00:45.200,1085,1131
18,00:00:45.240,00:00:47.400,1132,1186
19,00:00:47.440,00:00:49.240,1187,1232
20,00:00:49.280,00:00:50.360,1233,1260
21,00:00:50.400,00:00:51.440,1261,1287
22,00:00:51.480,00:00:55.120,1288,1379
23,00:00:55.160,00:00:56.320,1380,1409
24,00:00:56.360,00:00:57.240,1410,1432
25,00:00:57.280,00:00:58.680,1433,1468
26,00:00:58.720,00:00:59.000,1469,1476
27,00:00:59.040,00:00:59.960,1477,1500
28,00:01:00.000,00:01:03.840,1501,1597
29,00:01:03.880,00:01:06.640,1598,1667
30,00:01:06.680,00:01:09.800,1668,1746
31,00:01:09.840,00:01:12.400,1747,1811
32,00:01:12.440,00:01:16.120,1812,1904
33,00:01:16.160,00:01:18.560,1905,1965
34,00:01:18.600,00:01:22.600,1966,2066
35,00:01:22.640,00:01:25.360,2067,2135
36,00:01:25.400,00:01:27.640,2136,2192
37,00:01:27.680,00:01:30.680,2193,2268
38,00:01:30.720,00:01:31.920,2269,2299
39,00:01:31.960,00:01:36.840,2300,2422
40,00:01:36.880,00:01:37.960,2423,2450
41,00:01:38.000,00:01:39.040,2451,2477
42,00:01:39.080,00:01:41.880,2478,2548
43,00:01:41.920,00:01:44.480,2549,2613
44,00:01:44.520,00:01:46.000,2614,2651
45,00:01:46.040,00:01:47.560,2652,2690
46,00:01:47.600,00:01:49.280,2691,2733
47,00:01:49.320,00:01:51.760,2734,2795
48,00:01:51.800,00:01:53.280,2796,2833
49,00:01:53.320,00:01:57.440,2834,2937
50,00:01:57.480,00:02:00.160,2938,3005
51,00:02:00.200,00:02:02.360,3006,3060
52,00:02:02.400,00:02:04.840,3061,3122
53,00:02:04.880,00:02:15.240,3123,3382
54,00:02:15.280,00:02:17.080,3383,3428
55,00:02:17.120,00:02:18.920,3429,3474
