No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:07.360,1,185
2,00:00:07.400,00:00:11.320,186,284
3,00:00:11.360,00:00:14.040,285,352
4,00:00:14.080,00:00:19.200,353,481
5,00:00:19.240,00:00:22.880,482,573
6,00:00:22.920,00:00:26.760,574,670
7,00:00:26.800,00:00:31.160,671,780
8,00:00:31.200,00:00:38.880,781,973
9,00:00:38.920,00:00:43.000,974,1076
10,00:00:43.040,00:00:45.480,1077,1138
11,00:00:45.520,00:00:50.520,1139,1264
12,00:00:50.560,00:00:52.960,1265,1325
13,00:00:53.000,00:00:54.080,1326,1353
14,00:00:54.120,00:00:55.800,1354,1396
15,00:00:55.840,00:00:57.800,1397,1446
16,00:00:57.840,00:01:00.640,1447,1517
17,00:01:00.680,00:01:03.120,1518,1579
18,00:01:03.160,00:01:04.360,1580,1610
19,00:01:04.400,00:01:08.360,1611,1710
20,00:01:08.400,00:01:11.280,1711,1783
21,00:01:11.320,00:01:13.920,1784,1849
22,00:01:13.960,00:01:22.040,1850,2052
23,00:01:22.080,00:01:23.800,2053,2096
24,00:01:23.840,00:01:24.280,2097,2108
25,00:01:24.320,00:01:25.520,2109,2139
26,00:01:25.560,00:01:27.040,2140,2177
27,00:01:27.080,00:01:28.520,2178,2214
28,00:01:28.560,00:01:29.880,2215,2248
29,00:01:29.920,00:01:35.320,2249,2384
30,00:01:35.360,00:01:41.440,2385,2537
31,00:01:41.480,00:01:44.000,2538,2601
32,00:01:44.040,00:01:51.200,2602,2781
33,00:01:51.240,00:01:54.720,2782,2869
34,00:01:54.760,00:01:56.880,2870,2923
35,00:01:56.920,00:02:00.000,2924,3001
36,00:02:00.040,00:02:02.600,3002,3066
37,00:02:02.640,00:02:04.760,3067,3120
38,00:02:04.800,00:02:05.880,3121,3148
39,00:02:05.920,00:02:08.520,3149,3214
40,00:02:08.560,00:02:10.040,3215,3252
41,00:02:10.080,00:02:12.000,3253,3301
42,00:02:12.040,00:02:14.640,3302,3367
43,00:02:14.680,00:02:17.880,3368,3448
44,00:02:17.920,00:02:23.360,3449,3585
45,00:02:23.400,00:02:25.720,3586,3644
46,00:02:25.760,00:02:28.440,3645,3712
47,00:02:28.480,00:02:31.200,3713,3781
48,00:02:31.240,00:02:34.160,3782,3855
49,00:02:34.200,00:02:36.920,3856,3924
50,00:02:36.960,00:02:38.680,3925,3968
51,00:02:38.720,00:02:40.840,3969,4022
52,00:02:40.880,00:02:43.000,4023,4076
53,00:02:43.040,00:02:44.440,4077,4112
54,00:02:44.480,00:02:49.520,4113,4239
55,00:02:49.560,00:02:51.240,4240,4282
56,00:02:51.280,00:02:53.400,4283,4336
57,00:02:53.440,00:02:56.960,4337,4425
58,00:02:57.000,00:03:02.760,4426,4570
59,00:03:02.800,00:03:05.400,4571,4636
60,00:03:05.440,00:03:08.520,4637,4714
61,00:03:08.560,00:03:12.320,4715,4809
62,00:03:12.360,00:03:14.240,4810,4857
