No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.000,1,1
2,00:00:00.040,00:00:02.000,2,51
3,00:00:02.040,00:00:07.160,52,180
4,00:00:07.200,00:00:09.640,181,242
5,00:00:09.680,00:00:10.760,243,270
6,00:00:10.800,00:00:13.160,271,330
7,00:00:13.200,00:00:14.600,331,366
8,00:00:14.640,00:00:17.640,367,442
9,00:00:17.680,00:00:19.560,443,490
10,00:00:19.600,00:00:22.720,491,569
11,00:00:22.760,00:00:24.880,570,623
12,00:00:24.920,00:00:27.480,624,688
13,00:00:27.520,00:00:29.560,689,740
14,00:00:29.600,00:00:38.160,741,955
15,00:00:38.200,00:00:39.560,956,990
16,00:00:39.600,00:00:41.880,991,1048
17,00:00:41.920,00:00:44.000,1049,1101
18,00:00:44.040,00:00:47.400,1102,1186
19,00:00:47.440,00:00:50.680,1187,1268
20,00:00:50.720,00:00:51.880,1269,1298
21,00:00:51.920,00:00:54.840,1299,1372
22,00:00:54.880,00:00:58.960,1373,1475
23,00:00:59.000,00:00:59.920,1476,1499
24,00:00:59.960,00:01:00.720,1500,1519
25,00:01:00.760,00:01:02.040,1520,1552
26,00:01:02.080,00:01:03.200,1553,1581
27,00:01:03.240,00:01:05.800,1582,1646
28,00:01:05.840,00:01:08.120,1647,1704
29,00:01:08.160,00:01:12.640,1705,1817
30,00:01:12.680,00:01:17.560,1818,1940
31,00:01:17.600,00:01:17.600,1941,1941
32,00:01:17.640,00:01:19.640,1942,1992
33,00:01:19.680,00:01:21.560,1993,2040
34,00:01:21.600,00:01:23.840,2041,2097
35,00:01:23.880,00:01:27.080,2098,2178
36,00:01:27.120,00:01:28.560,2179,2215
37,00:01:28.600,00:01:29.800,2216,2246
38,00:01:29.840,00:01:34.080,2247,2353
39,00:01:34.120,00:01:36.320,2354,2409
40,00:01:36.360,00:01:39.880,2410,2498
41,00:01:39.920,00:01:43.360,2499,2585
42,00:01:43.400,00:01:46.160,2586,2655
43,00:01:46.200,00:01:48.480,2656,2713
44,00:01:48.520,00:01:51.960,2714,2800
45,00:01:52.000,00:01:54.400,2801,2861
46,00:01:54.440,00:01:57.880,2862,2948
47,00:01:57.920,00:02:00.920,2949,3024
48,00:02:00.960,00:02:02.120,3025,3054
49,00:02:02.160,00:02:07.720,3055,3194
50,00:02:07.760,00:02:09.840,3195,3247
51,00:02:09.880,00:02:12.320,3248,3309
52,00:02:12.360,00:02:14.640,3310,3367
53,00:02:14.680,00:02:19.280,3368,3483
54,00:02:19.320,00:02:21.640,3484,3542
55,00:02:21.680,00:02:23.320,3543,3584
56,00:02:23.360,00:02:25.320,3585,3634
57,00:02:25.360,00:02:28.760,3635,3720
58,00:02:28.800,00:02:30.640,3721,3767
59,00:02:30.680,00:02:32.520,3768,3814
60,00:02:32.560,00:02:35.040,3815,3877
61,00:02:35.080,00:02:37.160,3878,3930
62,00:02:37.200,00:02:37.880,3931,3948
63,00:02:37.920,00:02:38.720,3949,3969
64,00:02:38.760,00:02:39.840,3970,3997
65,00:02:39.880,00:02:41.640,3998,4042
66,00:02:41.680,00:02:43.720,4043,4094
67,00:02:43.760,00:02:46.360,4095,4160
68,00:02:46.400,00:02:48.600,4161,4216
69,00:02:48.640,00:02:50.240,4217,4257
70,00:02:50.280,00:02:56.600,4258,4416
71,00:02:56.640,00:03:00.240,4417,4507
72,00:03:00.280,00:03:04.520,4508,4614
73,00:03:04.560,00:03:07.000,4615,4676
74,00:03:07.040,00:03:07.360,4677,4685
