No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.520,1,39
2,00:00:01.560,00:00:03.720,40,94
3,00:00:03.760,00:00:05.480,95,138
4,00:00:05.520,00:00:06.760,139,170
5,00:00:06.800,00:00:09.200,171,231
6,00:00:09.240,00:00:10.600,232,266
7,00:00:10.640,00:00:14.280,267,358
8,00:00:14.320,00:00:17.520,359,439
9,00:00:17.560,00:00:20.520,440,514
10,00:00:20.560,00:00:23.760,515,595
11,00:00:23.800,00:00:25.560,596,640
12,00:00:25.600,00:00:27.160,641,680
13,00:00:27.200,00:00:35.840,681,897
14,00:00:35.880,00:00:40.880,898,1023
15,00:00:40.920,00:00:40.920,1024,1024
16,00:00:40.960,00:00:40.960,1025,1025
17,00:00:41.000,00:00:41.400,1026,1036
18,00:00:41.440,00:00:41.440,1037,1037
19,00:00:41.480,00:00:46.280,1038,1158
20,00:00:46.320,00:00:46.320,1159,1159
21,00:00:46.360,00:00:52.160,1160,1305
22,00:00:52.200,00:00:55.200,1306,1381
23,00:00:55.240,00:00:56.880,1382,1423
24,00:00:56.920,00:01:03.960,1424,1600
25,00:01:04.000,00:01:05.840,1601,1647
26,00:01:05.880,00:01:10.320,1648,1759
27,00:01:10.360,00:01:16.360,1760,1910
28,00:01:16.400,00:01:20.000,1911,2001
29,00:01:20.040,00:01:22.600,2002,2066
30,00:01:22.640,00:01:27.080,2067,2178
31,00:01:27.120,00:01:31.520,2179,2289
32,00:01:31.560,00:01:34.840,2290,2372
33,00:01:34.880,00:01:37.640,2373,2442
34,00:01:37.680,00:01:41.160,2443,2530
35,00:01:41.200,00:01:44.120,2531,2604
36,00:01:44.160,00:01:47.160,2605,2680
37,00:01:47.200,00:01:49.880,2681,2748
38,00:01:49.920,00:01:53.160,2749,2830
39,00:01:53.200,00:01:55.440,2831,2887
40,00:01:55.480,00:01:57.320,2888,2934
41,00:01:57.360,00:01:58.640,2935,2967
42,00:01:58.680,00:02:00.360,2968,3010
43,00:02:00.400,00:02:02.360,3011,3060
44,00:02:02.400,00:02:03.840,3061,3097
45,00:02:03.880,00:02:05.920,3098,3149
46,00:02:05.960,00:02:08.720,3150,3219
47,00:02:08.760,00:02:11.160,3220,3280
48,00:02:11.200,00:02:14.360,3281,3360
49,00:02:14.400,00:02:17.160,3361,3430
50,00:02:17.200,00:02:20.520,3431,3514
51,00:02:20.560,00:02:29.400,3515,3736
52,00:02:29.440,00:02:30.680,3737,3768
53,00:02:30.720,00:02:32.240,3769,3807
54,00:02:32.280,00:02:35.000,3808,3876
55,00:02:35.040,00:02:39.280,3877,3983
56,00:02:39.320,00:02:42.800,3984,4071
57,00:02:42.840,00:02:46.520,4072,4164
58,00:02:46.560,00:02:51.560,4165,4290
59,00:02:51.600,00:02:55.800,4291,4396
60,00:02:55.840,00:02:57.120,4397,4429
61,00:02:57.160,00:02:59.760,4430,4495
62,00:02:59.800,00:03:01.280,4496,4533
63,00:03:01.320,00:03:03.400,4534,4586
64,00:03:03.440,00:03:04.680,4587,4618
65,00:03:04.720,00:03:06.000,4619,4651
