No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.080,1,3
2,00:00:00.120,00:00:02.080,4,53
3,00:00:02.120,00:00:03.480,54,88
4,00:00:03.520,00:00:04.480,89,113
5,00:00:04.520,00:00:06.400,114,161
6,00:00:06.440,00:00:08.360,162,210
7,00:00:08.400,00:00:10.600,211,266
8,00:00:10.640,00:00:12.800,267,321
9,00:00:12.840,00:00:13.720,322,344
10,00:00:13.760,00:00:16.480,345,413
11,00:00:16.520,00:00:20.120,414,504
12,00:00:20.160,00:00:21.920,505,549
13,00:00:21.960,00:00:23.400,550,586
14,00:00:23.440,00:00:24.680,587,618
15,00:00:24.720,00:00:26.160,619,655
16,00:00:26.200,00:00:27.800,656,696
17,00:00:27.840,00:00:30.080,697,753
18,00:00:30.120,00:00:31.000,754,776
19,00:00:31.040,00:00:32.000,777,801
20,00:00:32.040,00:00:33.920,802,849
21,00:00:33.960,00:00:35.920,850,899
22,00:00:35.960,00:00:38.880,900,973
23,00:00:38.920,00:00:40.800,974,1021
24,00:00:40.840,00:00:45.240,1022,1132
25,00:00:45.280,00:00:48.840,1133,1222
26,00:00:48.880,00:00:50.920,1223,1274
27,00:00:50.960,00:00:52.440,1275,1312
28,00:00:52.480,00:00:54.560,1313,1365
29,00:00:54.600,00:00:59.080,1366,1478
30,00:00:59.120,00:01:00.440,1479,1512
31,00:01:00.480,00:01:02.000,1513,1551
32,00:01:02.040,00:01:04.840,1552,1622
33,00:01:04.880,00:01:07.680,1623,1693
34,00:01:07.720,00:01:09.400,1694,1736
35,00:01:09.440,00:01:16.360,1737,1910
36,00:01:16.400,00:01:19.920,1911,1999
37,00:01:19.960,00:01:21.160,2000,2030
38,00:01:21.200,00:01:28.800,2031,2221
39,00:01:28.840,00:01:31.480,2222,2288
40,00:01:31.520,00:01:33.160,2289,2330
41,00:01:33.200,00:01:34.240,2331,2357
42,00:01:34.280,00:01:35.480,2358,2388
43,00:01:35.520,00:01:38.400,2389,2461
44,00:01:38.440,00:01:40.440,2462,2512
45,00:01:40.480,00:01:43.560,2513,2590
46,00:01:43.600,00:01:44.960,2591,2625
47,00:01:45.000,00:01:47.480,2626,2688
48,00:01:47.520,00:01:49.160,2689,2730
49,00:01:49.200,00:01:51.080,2731,2778
50,00:01:51.120,00:01:52.840,2779,2822
51,00:01:52.880,00:01:54.920,2823,2874
52,00:01:54.960,00:01:58.200,2875,2956
53,00:01:58.240,00:02:00.760,2957,3020
54,00:02:00.800,00:02:03.120,3021,3079
55,00:02:03.160,00:02:04.920,3080,3124
56,00:02:04.960,00:02:08.120,3125,3204
57,00:02:08.160,00:02:09.200,3205,3231
58,00:02:09.240,00:02:10.120,3232,3254
59,00:02:10.160,00:02:11.640,3255,3292
60,00:02:11.680,00:02:15.760,3293,3395
61,00:02:15.800,00:02:18.360,3396,3460
62,00:02:18.400,00:02:19.560,3461,3490
63,00:02:19.600,00:02:27.880,3491,3698
64,00:02:27.920,00:02:29.680,3699,3743
65,00:02:29.720,00:02:32.480,3744,3813
66,00:02:32.520,00:02:34.560,3814,3865
67,00:02:34.600,00:02:37.240,3866,3932
68,00:02:37.280,00:02:38.760,3933,3970
69,00:02:38.800,00:02:40.480,3971,4013
70,00:02:40.520,00:02:42.080,4014,4053
71,00:02:42.120,00:02:44.000,4054,4101
72,00:02:44.040,00:02:46.360,4102,4160
73,00:02:46.400,00:02:48.240,4161,4207
74,00:02:48.280,00:02:50.280,4208,4258
75,00:02:50.320,00:02:51.560,4259,4290
76,00:02:51.600,00:02:53.840,4291,4347
77,00:02:53.880,00:02:55.960,4348,4400
78,00:02:56.000,00:02:57.120,4401,4429
79,00:02:57.160,00:02:59.760,4430,4495
80,00:02:59.800,00:03:02.440,4496,4562
81,00:03:02.480,00:03:07.800,4563,4696
82,00:03:07.840,00:03:08.120,4697,4704
