No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:20.520,1,514
2,00:00:20.560,00:00:29.960,515,750
3,00:00:30.000,00:00:34.040,751,852
4,00:00:34.080,00:00:41.880,853,1048
5,00:00:41.920,00:00:43.360,1049,1085
6,00:00:43.400,00:00:46.080,1086,1153
7,00:00:46.120,00:00:48.080,1154,1203
8,00:00:48.120,00:00:53.000,1204,1326
9,00:00:53.040,00:00:54.760,1327,1370
10,00:00:54.800,00:00:55.960,1371,1400
11,00:00:56.000,00:00:58.560,1401,1465
12,00:00:58.600,00:01:00.360,1466,1510
13,00:01:00.400,00:01:01.960,1511,1550
14,00:01:02.000,00:01:04.600,1551,1616
15,00:01:04.640,00:01:06.640,1617,1667
16,00:01:06.680,00:01:08.840,1668,1722
17,00:01:08.880,00:01:13.560,1723,1840
18,00:01:13.600,00:01:15.920,1841,1899
19,00:01:15.960,00:01:18.040,1900,1952
