No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:16.960,1,425
2,00:00:17.000,00:00:20.280,426,508
3,00:00:20.320,00:00:24.280,509,608
4,00:00:24.320,00:00:27.600,609,691
5,00:00:27.640,00:00:32.760,692,820
6,00:00:32.800,00:00:36.040,821,902
7,00:00:36.080,00:00:39.480,903,988
8,00:00:39.520,00:00:52.760,989,1320
9,00:00:52.800,00:00:55.040,1321,1377
10,00:00:55.080,00:00:57.960,1378,1450
11,00:00:58.000,00:01:01.920,1451,1549
12,00:01:01.960,00:01:05.080,1550,1628
13,00:01:05.120,00:01:08.480,1629,1713
14,00:01:08.520,00:01:13.720,1714,1844
15,00:01:13.760,00:01:22.720,1845,2069
16,00:01:22.760,00:01:31.160,2070,2280
17,00:01:31.200,00:01:37.680,2281,2443
18,00:01:37.720,00:01:43.320,2444,2584
19,00:01:43.360,00:01:48.000,2585,2701
20,00:01:48.040,00:01:49.880,2702,2748
21,00:01:49.920,00:01:54.440,2749,2862
22,00:01:54.480,00:01:58.080,2863,2953
23,00:01:58.120,00:02:03.040,2954,3077
24,00:02:03.080,00:02:08.200,3078,3206
25,00:02:08.240,00:02:12.000,3207,3301
26,00:02:12.040,00:02:23.560,3302,3590
27,00:02:23.600,00:02:29.040,3591,3727
28,00:02:29.080,00:02:40.720,3728,4019
29,00:02:40.760,00:02:50.840,4020,4272
