No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.880,1,48
2,00:00:01.920,00:00:04.440,49,112
3,00:00:04.480,00:00:09.160,113,230
4,00:00:09.200,00:00:13.000,231,326
5,00:00:13.040,00:00:17.040,327,427
6,00:00:17.080,00:00:21.160,428,530
7,00:00:21.200,00:00:23.480,531,588
8,00:00:23.520,00:00:26.040,589,652
9,00:00:26.080,00:00:28.480,653,713
10,00:00:28.520,00:00:30.320,714,759
11,00:00:30.360,00:00:32.360,760,810
12,00:00:32.400,00:00:34.800,811,871
13,00:00:34.840,00:00:37.480,872,938
14,00:00:37.520,00:00:40.640,939,1017
15,00:00:40.680,00:00:42.280,1018,1058
16,00:00:42.320,00:00:44.120,1059,1104
17,00:00:44.160,00:00:45.920,1105,1149
18,00:00:45.960,00:00:48.080,1150,1203
19,00:00:48.120,00:00:49.520,1204,1239
20,00:00:49.560,00:01:03.560,1240,1590
21,00:01:03.600,00:01:07.440,1591,1687
22,00:01:07.480,00:01:12.280,1688,1808
23,00:01:12.320,00:01:15.680,1809,1893
24,00:01:15.720,00:01:18.480,1894,1963
25,00:01:18.520,00:01:22.640,1964,2067
26,00:01:22.680,00:01:27.000,2068,2176
27,00:01:27.040,00:01:28.920,2177,2224
28,00:01:28.960,00:01:31.720,2225,2294
29,00:01:31.760,00:01:35.040,2295,2377
30,00:01:35.080,00:01:38.880,2378,2473
31,00:01:38.920,00:01:42.360,2474,2560
32,00:01:42.400,00:01:49.720,2561,2744
33,00:01:49.760,00:01:53.360,2745,2835
34,00:01:53.400,00:01:59.120,2836,2979
35,00:01:59.160,00:02:02.400,2980,3061
36,00:02:02.440,00:02:05.400,3062,3136
37,00:02:05.440,00:02:08.000,3137,3201
38,00:02:08.040,00:02:11.000,3202,3276
39,00:02:11.040,00:02:14.560,3277,3365
40,00:02:14.600,00:02:18.080,3366,3453
41,00:02:18.120,00:02:24.760,3454,3620
42,00:02:24.800,00:02:28.440,3621,3712
43,00:02:28.480,00:02:31.480,3713,3788
44,00:02:31.520,00:02:34.320,3789,3859
45,00:02:34.360,00:02:37.280,3860,3933
46,00:02:37.320,00:02:39.880,3934,3998
47,00:02:39.920,00:02:41.720,3999,4044
48,00:02:41.760,00:02:56.440,4045,4412
