No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.560,1,65
2,00:00:02.600,00:00:10.240,66,257
3,00:00:10.280,00:00:11.360,258,285
4,00:00:11.400,00:00:18.520,286,464
5,00:00:18.560,00:00:23.240,465,582
6,00:00:23.280,00:00:26.840,583,672
7,00:00:26.880,00:00:40.080,673,1003
8,00:00:40.120,00:00:43.240,1004,1082
9,00:00:43.280,00:00:48.680,1083,1218
10,00:00:48.720,00:00:50.880,1219,1273
11,00:00:50.920,00:00:54.880,1274,1373
12,00:00:54.920,00:01:00.560,1374,1515
13,00:01:00.600,00:01:04.240,1516,1607
14,00:01:04.280,00:01:07.440,1608,1687
15,00:01:07.480,00:01:09.520,1688,1739
16,00:01:09.560,00:01:15.280,1740,1883
17,00:01:15.320,00:01:16.840,1884,1922
18,00:01:16.880,00:01:31.680,1923,2293
