No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.920,1,74
2,00:00:02.960,00:00:05.320,75,134
3,00:00:05.360,00:00:06.920,135,174
4,00:00:06.960,00:00:08.320,175,209
5,00:00:08.360,00:00:10.000,210,251
6,00:00:10.040,00:00:10.680,252,268
7,00:00:10.720,00:00:11.760,269,295
8,00:00:11.800,00:00:13.600,296,341
9,00:00:13.640,00:00:15.120,342,379
10,00:00:15.160,00:00:16.680,380,418
11,00:00:16.720,00:00:17.880,419,448
12,00:00:17.920,00:00:19.360,449,485
13,00:00:19.400,00:00:22.000,486,551
14,00:00:22.040,00:00:23.840,552,597
15,00:00:23.880,00:00:25.600,598,641
16,00:00:25.640,00:00:27.360,642,685
17,00:00:27.400,00:00:29.240,686,732
18,00:00:29.280,00:00:30.120,733,754
