No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.960,1,50
2,00:00:02.000,00:00:03.760,51,95
3,00:00:03.800,00:00:05.240,96,132
4,00:00:05.280,00:00:08.520,133,214
5,00:00:08.560,00:00:10.680,215,268
6,00:00:10.720,00:00:12.440,269,312
7,00:00:12.480,00:00:14.080,313,353
8,00:00:14.120,00:00:16.920,354,424
9,00:00:16.960,00:00:19.320,425,484
10,00:00:19.360,00:00:22.000,485,551
11,00:00:22.040,00:00:25.080,552,628
12,00:00:25.120,00:00:27.320,629,684
13,00:00:27.360,00:00:46.280,685,1158
14,00:00:46.320,00:00:49.760,1159,1245
15,00:00:49.800,00:00:51.360,1246,1285
16,00:00:51.400,00:00:54.600,1286,1366
17,00:00:54.640,00:00:56.200,1367,1406
18,00:00:56.240,00:00:58.320,1407,1459
19,00:00:58.360,00:00:59.600,1460,1491
20,00:00:59.640,00:01:24.640,1492,2117
21,00:01:24.680,00:01:26.800,2118,2171
22,00:01:26.840,00:01:28.880,2172,2223
23,00:01:28.920,00:01:31.240,2224,2282
24,00:01:31.280,00:01:35.440,2283,2387
25,00:01:35.480,00:01:43.080,2388,2578
26,00:01:43.120,00:01:45.880,2579,2648
27,00:01:45.920,00:01:55.240,2649,2882
28,00:01:55.280,00:01:58.360,2883,2960
29,00:01:58.400,00:02:01.200,2961,3031
30,00:02:01.240,00:02:03.400,3032,3086
31,00:02:03.440,00:02:11.960,3087,3300
32,00:02:12.000,00:02:19.640,3301,3492
33,00:02:19.680,00:02:27.280,3493,3683
34,00:02:27.320,00:02:30.360,3684,3760
35,00:02:30.400,00:02:32.040,3761,3802
36,00:02:32.080,00:02:41.040,3803,4027
37,00:02:41.080,00:02:44.040,4028,4102
38,00:02:44.080,00:02:47.480,4103,4188
39,00:02:47.520,00:02:50.960,4189,4275
40,00:02:51.000,00:02:53.640,4276,4342
41,00:02:53.680,00:02:59.040,4343,4477
42,00:02:59.080,00:03:00.920,4478,4524
43,00:03:00.960,00:03:02.760,4525,4570
44,00:03:02.800,00:03:05.920,4571,4649
45,00:03:05.960,00:03:08.120,4650,4704
46,00:03:08.160,00:03:11.520,4705,4789
47,00:03:11.560,00:03:13.400,4790,4836
48,00:03:13.440,00:03:15.280,4837,4883
49,00:03:15.320,00:03:17.960,4884,4950
50,00:03:18.000,00:03:19.880,4951,4998
51,00:03:19.920,00:03:21.800,4999,5046
52,00:03:21.840,00:03:27.040,5047,5177
53,00:03:27.080,00:03:30.120,5178,5254
54,00:03:30.160,00:03:32.200,5255,5306
55,00:03:32.240,00:03:34.640,5307,5367
56,00:03:34.680,00:03:43.000,5368,5576
57,00:03:43.040,00:03:44.600,5577,5616
58,00:03:44.640,00:03:45.600,5617,5641
59,00:03:45.640,00:03:47.080,5642,5678
60,00:03:47.120,00:03:51.400,5679,5786
61,00:03:51.440,00:03:53.800,5787,5846
62,00:03:53.840,00:03:58.040,5847,5952
63,00:03:58.080,00:03:59.160,5953,5980
64,00:03:59.200,00:04:11.000,5981,6276
65,00:04:11.040,00:04:12.360,6277,6310
66,00:04:12.400,00:04:15.200,6311,6381
67,00:04:15.240,00:04:17.600,6382,6441
68,00:04:17.640,00:04:18.960,6442,6475
69,00:04:19.000,00:04:21.040,6476,6527
70,00:04:21.080,00:04:25.920,6528,6649
71,00:04:25.960,00:04:27.600,6650,6691
72,00:04:27.640,00:04:29.160,6692,6730
73,00:04:29.200,00:04:29.920,6731,6749
