No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.400,1,36
2,00:00:01.440,00:00:03.160,37,80
3,00:00:03.200,00:00:05.000,81,126
4,00:00:05.040,00:00:08.480,127,213
5,00:00:08.520,00:00:10.640,214,267
6,00:00:10.680,00:00:15.040,268,377
7,00:00:15.080,00:00:19.240,378,482
8,00:00:19.280,00:00:21.560,483,540
9,00:00:21.600,00:00:30.040,541,752
10,00:00:30.080,00:00:32.160,753,805
11,00:00:32.200,00:00:42.520,806,1064
12,00:00:42.560,00:00:44.040,1065,1102
13,00:00:44.080,00:00:46.280,1103,1158
14,00:00:46.320,00:00:48.360,1159,1210
15,00:00:48.400,00:00:50.600,1211,1266
16,00:00:50.640,00:00:53.520,1267,1339
17,00:00:53.560,00:00:55.880,1340,1398
18,00:00:55.920,00:00:58.880,1399,1473
19,00:00:58.920,00:01:00.720,1474,1519
20,00:01:00.760,00:01:03.560,1520,1590
21,00:01:03.600,00:01:06.640,1591,1667
22,00:01:06.680,00:01:11.000,1668,1776
23,00:01:11.040,00:01:13.320,1777,1834
24,00:01:13.360,00:01:14.640,1835,1867
25,00:01:14.680,00:01:16.960,1868,1925
26,00:01:17.000,00:01:19.200,1926,1981
27,00:01:19.240,00:01:21.800,1982,2046
28,00:01:21.840,00:01:24.840,2047,2122
29,00:01:24.880,00:01:28.160,2123,2205
30,00:01:28.200,00:01:31.960,2206,2300
31,00:01:32.000,00:01:35.520,2301,2389
32,00:01:35.560,00:01:39.400,2390,2486
