No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.160,1,30
2,00:00:01.200,00:00:06.880,31,173
3,00:00:06.920,00:00:09.000,174,226
4,00:00:09.040,00:00:13.720,227,344
5,00:00:13.760,00:00:15.600,345,391
6,00:00:15.640,00:00:20.760,392,520
7,00:00:20.800,00:00:22.680,521,568
8,00:00:22.720,00:00:25.160,569,630
9,00:00:25.200,00:00:28.480,631,713
10,00:00:28.520,00:00:31.600,714,791
11,00:00:31.640,00:00:34.080,792,853
12,00:00:34.120,00:00:39.160,854,980
13,00:00:39.200,00:00:43.000,981,1076
14,00:00:43.040,00:00:54.320,1077,1359
15,00:00:54.360,00:00:57.640,1360,1442
16,00:00:57.680,00:00:59.640,1443,1492
17,00:00:59.680,00:01:02.120,1493,1554
18,00:01:02.160,00:01:03.680,1555,1593
19,00:01:03.720,00:01:05.760,1594,1645
20,00:01:05.800,00:01:08.000,1646,1701
21,00:01:08.040,00:01:09.600,1702,1741
22,00:01:09.640,00:01:12.560,1742,1815
23,00:01:12.600,00:01:16.280,1816,1908
24,00:01:16.320,00:01:20.280,1909,2008
25,00:01:20.320,00:01:24.960,2009,2125
26,00:01:25.000,00:01:29.480,2126,2238
27,00:01:29.520,00:01:32.920,2239,2324
28,00:01:32.960,00:01:36.720,2325,2419
29,00:01:36.760,00:01:42.240,2420,2557
30,00:01:42.280,00:01:48.880,2558,2723
31,00:01:48.920,00:01:50.960,2724,2775
32,00:01:51.000,00:01:57.000,2776,2926
33,00:01:57.040,00:02:01.200,2927,3031
34,00:02:01.240,00:02:03.640,3032,3092
35,00:02:03.680,00:02:06.400,3093,3161
36,00:02:06.440,00:02:09.320,3162,3234
37,00:02:09.360,00:02:11.000,3235,3276
38,00:02:11.040,00:02:14.680,3277,3368
39,00:02:14.720,00:02:21.520,3369,3539
40,00:02:21.560,00:02:23.920,3540,3599
41,00:02:23.960,00:02:28.680,3600,3718
42,00:02:28.720,00:02:32.000,3719,3801
43,00:02:32.040,00:02:35.200,3802,3881
44,00:02:35.240,00:02:37.360,3882,3935
45,00:02:37.400,00:02:48.800,3936,4221
46,00:02:48.840,00:02:51.480,4222,4288
47,00:02:51.520,00:02:53.920,4289,4349
48,00:02:53.960,00:02:56.480,4350,4413
49,00:02:56.520,00:02:59.880,4414,4498
