No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.520,1,64
2,00:00:02.560,00:00:06.880,65,173
3,00:00:06.920,00:00:09.920,174,249
4,00:00:09.960,00:00:14.560,250,365
5,00:00:14.600,00:00:17.800,366,446
6,00:00:17.840,00:00:20.800,447,521
7,00:00:20.840,00:00:22.640,522,567
8,00:00:22.680,00:00:25.240,568,632
9,00:00:25.280,00:00:29.120,633,729
10,00:00:29.160,00:00:30.800,730,771
11,00:00:30.840,00:00:32.240,772,807
12,00:00:32.280,00:00:33.920,808,849
13,00:00:33.960,00:00:37.120,850,929
14,00:00:37.160,00:00:38.480,930,963
15,00:00:38.520,00:00:39.360,964,985
16,00:00:39.400,00:00:45.040,986,1127
17,00:00:45.080,00:00:46.600,1128,1166
18,00:00:46.640,00:00:51.280,1167,1283
19,00:00:51.320,00:00:53.360,1284,1335
20,00:00:53.400,00:00:57.200,1336,1431
21,00:00:57.240,00:00:58.920,1432,1474
22,00:00:58.960,00:01:04.240,1475,1607
23,00:01:04.280,00:01:06.400,1608,1661
24,00:01:06.440,00:01:14.520,1662,1864
25,00:01:14.560,00:01:16.680,1865,1918
26,00:01:16.720,00:01:18.440,1919,1962
27,00:01:18.480,00:01:20.440,1963,2012
28,00:01:20.480,00:01:21.360,2013,2035
29,00:01:21.400,00:01:25.040,2036,2127
30,00:01:25.080,00:01:26.840,2128,2172
31,00:01:26.880,00:01:38.920,2173,2474
32,00:01:38.960,00:01:42.440,2475,2562
33,00:01:42.480,00:01:45.560,2563,2640
34,00:01:45.600,00:01:49.840,2641,2747
35,00:01:49.880,00:01:54.360,2748,2860
36,00:01:54.400,00:01:57.240,2861,2932
37,00:01:57.280,00:01:59.560,2933,2990
38,00:01:59.600,00:02:12.240,2991,3307
39,00:02:12.280,00:02:14.200,3308,3356
40,00:02:14.240,00:02:15.120,3357,3379
41,00:02:15.160,00:02:20.240,3380,3507
42,00:02:20.280,00:02:22.000,3508,3551
43,00:02:22.040,00:02:28.280,3552,3708
44,00:02:28.320,00:02:31.400,3709,3786
45,00:02:31.440,00:02:36.440,3787,3912
46,00:02:36.480,00:02:38.760,3913,3970
47,00:02:38.800,00:02:40.840,3971,4022
48,00:02:40.880,00:02:46.960,4023,4175
49,00:02:47.000,00:02:49.320,4176,4234
50,00:02:49.360,00:02:53.360,4235,4335
51,00:02:53.400,00:02:56.240,4336,4407
52,00:02:56.280,00:02:59.120,4408,4479
53,00:02:59.160,00:03:02.200,4480,4556
54,00:03:02.240,00:03:04.600,4557,4616
55,00:03:04.640,00:03:10.760,4617,4770
56,00:03:10.800,00:03:13.680,4771,4843
57,00:03:13.720,00:03:15.040,4844,4877
58,00:03:15.080,00:03:15.720,4878,4894
59,00:03:15.760,00:03:17.440,4895,4937
60,00:03:17.480,00:03:20.440,4938,5012
61,00:03:20.480,00:03:22.240,5013,5057
62,00:03:22.280,00:03:24.440,5058,5112
63,00:03:24.480,00:03:27.800,5113,5196
64,00:03:27.840,00:03:30.200,5197,5256
65,00:03:30.240,00:03:33.200,5257,5331
66,00:03:33.240,00:03:50.920,5332,5774
67,00:03:50.960,00:03:52.800,5775,5821
68,00:03:52.840,00:03:55.120,5822,5879
