No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:12.680,1,318
2,00:00:12.720,00:00:15.200,319,381
3,00:00:15.240,00:00:21.040,382,527
4,00:00:21.080,00:00:25.520,528,639
5,00:00:25.560,00:00:28.360,640,710
6,00:00:28.400,00:00:30.560,711,765
7,00:00:30.600,00:00:33.960,766,850
8,00:00:34.000,00:00:36.720,851,919
9,00:00:36.760,00:00:41.600,920,1041
10,00:00:41.640,00:00:45.160,1042,1130
11,00:00:45.200,00:00:47.400,1131,1186
12,00:00:47.440,00:00:51.200,1187,1281
13,00:00:51.240,00:00:55.320,1282,1384
14,00:00:55.360,00:00:57.800,1385,1446
15,00:00:57.840,00:00:59.880,1447,1498
16,00:00:59.920,00:01:22.720,1499,2069
17,00:01:22.760,00:01:27.480,2070,2188
18,00:01:27.520,00:01:33.040,2189,2327
19,00:01:33.080,00:01:35.560,2328,2390
20,00:01:35.600,00:01:38.800,2391,2471
21,00:01:38.840,00:01:41.840,2472,2547
22,00:01:41.880,00:01:49.600,2548,2741
23,00:01:49.640,00:01:54.320,2742,2859
24,00:01:54.360,00:01:55.920,2860,2899
25,00:01:55.960,00:02:01.480,2900,3038
26,00:02:01.520,00:02:05.080,3039,3128
27,00:02:05.120,00:02:07.000,3129,3176
28,00:02:07.040,00:02:11.120,3177,3279
29,00:02:11.160,00:02:14.680,3280,3368
30,00:02:14.720,00:02:35.960,3369,3900
