No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.920,1,49
2,00:00:01.960,00:00:03.160,50,80
3,00:00:03.200,00:00:05.000,81,126
4,00:00:05.040,00:00:09.000,127,226
5,00:00:09.040,00:00:15.000,227,376
6,00:00:15.040,00:00:16.480,377,413
7,00:00:16.520,00:00:18.400,414,461
8,00:00:18.440,00:00:20.120,462,504
9,00:00:20.160,00:00:26.640,505,667
10,00:00:26.680,00:00:28.080,668,703
11,00:00:28.120,00:00:30.200,704,756
12,00:00:30.240,00:00:32.920,757,824
13,00:00:32.960,00:00:38.880,825,973
14,00:00:38.920,00:00:40.080,974,1003
15,00:00:40.120,00:00:44.120,1004,1104
16,00:00:44.160,00:00:52.240,1105,1307
17,00:00:52.280,00:00:55.000,1308,1376
18,00:00:55.040,00:00:58.160,1377,1455
19,00:00:58.200,00:00:59.480,1456,1488
20,00:00:59.520,00:01:01.280,1489,1533
21,00:01:01.320,00:01:03.680,1534,1593
22,00:01:03.720,00:01:05.520,1594,1639
23,00:01:05.560,00:01:08.640,1640,1717
24,00:01:08.680,00:01:10.880,1718,1773
25,00:01:10.920,00:01:15.520,1774,1889
26,00:01:15.560,00:01:19.680,1890,1993
27,00:01:19.720,00:01:23.960,1994,2100
28,00:01:24.000,00:01:27.880,2101,2198
29,00:01:27.920,00:01:29.800,2199,2246
30,00:01:29.840,00:01:31.160,2247,2280
31,00:01:31.200,00:01:34.120,2281,2354
32,00:01:34.160,00:01:36.000,2355,2401
33,00:01:36.040,00:01:40.760,2402,2520
34,00:01:40.800,00:01:43.800,2521,2596
35,00:01:43.840,00:01:46.640,2597,2667
36,00:01:46.680,00:01:53.160,2668,2830
37,00:01:53.200,00:01:55.160,2831,2880
38,00:01:55.200,00:01:59.760,2881,2995
39,00:01:59.800,00:02:02.320,2996,3059
40,00:02:02.360,00:02:05.720,3060,3144
41,00:02:05.760,00:02:16.720,3145,3419
42,00:02:16.760,00:02:19.480,3420,3488
43,00:02:19.520,00:02:25.760,3489,3645
44,00:02:25.800,00:02:26.200,3646,3656
