No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.680,1,43
2,00:00:01.720,00:00:04.560,44,115
3,00:00:04.600,00:00:05.720,116,144
4,00:00:05.760,00:00:07.680,145,193
5,00:00:07.720,00:00:09.120,194,229
6,00:00:09.160,00:00:10.600,230,266
7,00:00:10.640,00:00:11.800,267,296
8,00:00:11.840,00:00:16.560,297,415
9,00:00:16.600,00:00:18.320,416,459
10,00:00:18.360,00:00:21.080,460,528
11,00:00:21.120,00:00:23.440,529,587
12,00:00:23.480,00:00:26.680,588,668
13,00:00:26.720,00:00:29.520,669,739
14,00:00:29.560,00:00:33.040,740,827
15,00:00:33.080,00:00:35.280,828,883
16,00:00:35.320,00:00:37.080,884,928
17,00:00:37.120,00:00:39.760,929,995
18,00:00:39.800,00:00:41.000,996,1026
19,00:00:41.040,00:00:43.600,1027,1091
20,00:00:43.640,00:00:45.720,1092,1144
21,00:00:45.760,00:00:48.360,1145,1210
22,00:00:48.400,00:00:50.880,1211,1273
23,00:00:50.920,00:00:54.200,1274,1356
24,00:00:54.240,00:00:56.000,1357,1401
25,00:00:56.040,00:00:58.960,1402,1475
26,00:00:59.000,00:01:02.760,1476,1570
27,00:01:02.800,00:01:04.000,1571,1601
28,00:01:04.040,00:01:05.600,1602,1641
29,00:01:05.640,00:01:07.840,1642,1697
30,00:01:07.880,00:01:09.880,1698,1748
31,00:01:09.920,00:01:11.840,1749,1797
32,00:01:11.880,00:01:16.520,1798,1914
