No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.720,1,119
2,00:00:04.760,00:00:08.680,120,218
3,00:00:08.720,00:00:12.120,219,304
4,00:00:12.160,00:00:13.920,305,349
5,00:00:13.960,00:00:15.640,350,392
6,00:00:15.680,00:00:18.160,393,455
7,00:00:18.200,00:00:20.440,456,512
8,00:00:20.480,00:00:23.040,513,577
9,00:00:23.080,00:00:26.400,578,661
10,00:00:26.440,00:00:31.800,662,796
11,00:00:31.840,00:00:36.280,797,908
12,00:00:36.320,00:00:40.400,909,1011
13,00:00:40.440,00:00:44.680,1012,1118
14,00:00:44.720,00:00:46.600,1119,1166
15,00:00:46.640,00:00:50.960,1167,1275
16,00:00:51.000,00:00:53.360,1276,1335
17,00:00:53.400,00:00:54.560,1336,1365
18,00:00:54.600,00:00:56.200,1366,1406
19,00:00:56.240,00:01:00.240,1407,1507
20,00:01:00.280,00:01:04.280,1508,1608
21,00:01:04.320,00:01:06.680,1609,1668
22,00:01:06.720,00:01:09.480,1669,1738
23,00:01:09.520,00:01:12.680,1739,1818
24,00:01:12.720,00:01:16.000,1819,1901
25,00:01:16.040,00:01:19.840,1902,1997
