No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.560,1,140
2,00:00:05.600,00:00:07.640,141,192
3,00:00:07.680,00:00:09.520,193,239
4,00:00:09.560,00:00:12.440,240,312
5,00:00:12.480,00:00:23.360,313,585
6,00:00:23.400,00:00:28.600,586,716
7,00:00:28.640,00:00:32.120,717,804
8,00:00:32.160,00:00:36.720,805,919
9,00:00:36.760,00:00:39.600,920,991
10,00:00:39.640,00:00:43.280,992,1083
11,00:00:43.320,00:00:49.120,1084,1229
12,00:00:49.160,00:00:54.000,1230,1351
13,00:00:54.040,00:00:55.360,1352,1385
14,00:00:55.400,00:00:57.560,1386,1440
15,00:00:57.600,00:01:00.360,1441,1510
16,00:01:00.400,00:01:04.400,1511,1611
17,00:01:04.440,00:01:19.360,1612,1985
