No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.480,1,13
2,00:00:00.520,00:00:09.720,14,244
3,00:00:09.760,00:00:12.920,245,324
4,00:00:12.960,00:00:25.920,325,649
5,00:00:25.960,00:00:40.760,650,1020
6,00:00:40.800,00:00:47.360,1021,1185
7,00:00:47.400,00:00:51.920,1186,1299
8,00:00:51.960,00:00:56.960,1300,1425
9,00:00:57.000,00:00:59.680,1426,1493
10,00:00:59.720,00:01:06.880,1494,1673
11,00:01:06.920,00:01:09.640,1674,1742
12,00:01:09.680,00:01:30.680,1743,2268
13,00:01:30.720,00:01:33.640,2269,2342
14,00:01:33.680,00:01:41.200,2343,2531
