No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:14.080,1,353
2,00:00:14.120,00:00:16.240,354,407
3,00:00:16.280,00:00:18.640,408,467
4,00:00:18.680,00:00:32.600,468,816
5,00:00:32.640,00:00:33.960,817,850
6,00:00:34.000,00:00:40.280,851,1008
7,00:00:40.320,00:00:46.720,1009,1169
8,00:00:46.760,00:00:49.360,1170,1235
9,00:00:49.400,00:00:56.040,1236,1402
10,00:00:56.080,00:00:57.800,1403,1446
11,00:00:57.840,00:01:02.320,1447,1559
12,00:01:02.360,00:01:06.280,1560,1658
13,00:01:06.320,00:01:08.560,1659,1715
14,00:01:08.600,00:01:12.320,1716,1809
15,00:01:12.360,00:01:14.200,1810,1856
16,00:01:14.240,00:01:15.760,1857,1895
17,00:01:15.800,00:01:17.280,1896,1933
18,00:01:17.320,00:01:19.120,1934,1979
19,00:01:19.160,00:01:21.480,1980,2038
20,00:01:21.520,00:01:24.600,2039,2116
21,00:01:24.640,00:01:35.560,2117,2390
22,00:01:35.600,00:01:40.120,2391,2504
23,00:01:40.160,00:01:43.320,2505,2584
24,00:01:43.360,00:01:50.480,2585,2763
25,00:01:50.520,00:01:54.440,2764,2862
26,00:01:54.480,00:01:56.120,2863,2904
27,00:01:56.160,00:01:56.920,2905,2924
