No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.880,1,23
2,00:00:00.920,00:00:06.040,24,152
3,00:00:06.080,00:00:08.480,153,213
4,00:00:08.520,00:00:10.560,214,265
5,00:00:10.600,00:00:13.000,266,326
6,00:00:13.040,00:00:14.720,327,369
7,00:00:14.760,00:00:16.080,370,403
8,00:00:16.120,00:00:17.720,404,444
9,00:00:17.760,00:00:19.320,445,484
10,00:00:19.360,00:00:21.480,485,538
11,00:00:21.520,00:00:24.560,539,615
12,00:00:24.600,00:00:26.160,616,655
13,00:00:26.200,00:00:27.960,656,700
14,00:00:28.000,00:00:29.680,701,743
15,00:00:29.720,00:00:32.120,744,804
16,00:00:32.160,00:00:33.600,805,841
17,00:00:33.640,00:00:35.200,842,881
18,00:00:35.240,00:00:37.240,882,932
19,00:00:37.280,00:00:39.440,933,987
20,00:00:39.480,00:00:40.880,988,1023
21,00:00:40.920,00:00:43.360,1024,1085
22,00:00:43.400,00:00:44.040,1086,1102
23,00:00:44.080,00:00:45.320,1103,1134
24,00:00:45.360,00:00:46.520,1135,1164
25,00:00:46.560,00:00:48.200,1165,1206
26,00:00:48.240,00:00:50.000,1207,1251
27,00:00:50.040,00:00:54.600,1252,1366
28,00:00:54.640,00:00:57.200,1367,1431
29,00:00:57.240,00:00:59.880,1432,1498
30,00:00:59.920,00:01:00.760,1499,1520
31,00:01:00.800,00:01:02.000,1521,1551
32,00:01:02.040,00:01:03.840,1552,1597
33,00:01:03.880,00:01:05.800,1598,1646
34,00:01:05.840,00:01:07.720,1647,1694
35,00:01:07.760,00:01:09.560,1695,1740
36,00:01:09.600,00:01:10.680,1741,1768
37,00:01:10.720,00:01:12.240,1769,1807
38,00:01:12.280,00:01:13.360,1808,1835
39,00:01:13.400,00:01:14.480,1836,1863
40,00:01:14.520,00:01:15.800,1864,1896
41,00:01:15.840,00:01:17.440,1897,1937
42,00:01:17.480,00:01:18.480,1938,1963
43,00:01:18.520,00:01:19.920,1964,1999
44,00:01:19.960,00:01:22.520,2000,2064
45,00:01:22.560,00:01:24.320,2065,2109
46,00:01:24.360,00:01:26.040,2110,2152
47,00:01:26.080,00:01:28.160,2153,2205
48,00:01:28.200,00:01:33.680,2206,2343
49,00:01:33.720,00:01:35.720,2344,2394
50,00:01:35.760,00:01:39.200,2395,2481
51,00:01:39.240,00:01:44.600,2482,2616
52,00:01:44.640,00:01:48.240,2617,2707
53,00:01:48.280,00:01:52.400,2708,2811
54,00:01:52.440,00:01:54.880,2812,2873
55,00:01:54.920,00:01:59.760,2874,2995
56,00:01:59.800,00:02:04.520,2996,3114
57,00:02:04.560,00:02:06.640,3115,3167
58,00:02:06.680,00:02:08.200,3168,3206
59,00:02:08.240,00:02:11.960,3207,3300
60,00:02:12.000,00:02:15.160,3301,3380
61,00:02:15.200,00:02:16.360,3381,3410
62,00:02:16.400,00:02:18.840,3411,3472
63,00:02:18.880,00:02:20.760,3473,3520
64,00:02:20.800,00:02:22.000,3521,3551
65,00:02:22.040,00:02:27.320,3552,3684
66,00:02:27.360,00:02:28.400,3685,3711
67,00:02:28.440,00:02:31.400,3712,3786
68,00:02:31.440,00:02:35.320,3787,3884
69,00:02:35.360,00:02:39.920,3885,3999
70,00:02:39.960,00:02:42.320,4000,4059
71,00:02:42.360,00:02:44.360,4060,4110
72,00:02:44.400,00:02:47.040,4111,4177
73,00:02:47.080,00:02:49.080,4178,4228
74,00:02:49.120,00:02:52.480,4229,4313
75,00:02:52.520,00:02:55.840,4314,4397
76,00:02:55.880,00:02:58.200,4398,4456
77,00:02:58.240,00:03:00.080,4457,4503
78,00:03:00.120,00:03:02.400,4504,4561
79,00:03:02.440,00:03:04.240,4562,4607
80,00:03:04.280,00:03:05.680,4608,4643
81,00:03:05.720,00:03:07.280,4644,4683
82,00:03:07.320,00:03:09.680,4684,4743
83,00:03:09.720,00:03:13.360,4744,4835
84,00:03:13.400,00:03:17.240,4836,4932
85,00:03:17.280,00:03:20.040,4933,5002
86,00:03:20.080,00:03:23.800,5003,5096
87,00:03:23.840,00:03:26.520,5097,5164
88,00:03:26.560,00:03:28.480,5165,5213
89,00:03:28.520,00:03:29.920,5214,5249
90,00:03:29.960,00:03:33.080,5250,5328
91,00:03:33.120,00:03:37.440,5329,5437
92,00:03:37.480,00:03:42.280,5438,5558
93,00:03:42.320,00:03:46.880,5559,5673
94,00:03:46.920,00:03:48.960,5674,5725
95,00:03:49.000,00:03:50.960,5726,5775
96,00:03:51.000,00:03:56.680,5776,5918
