No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.480,1,38
2,00:00:01.520,00:00:03.080,39,78
3,00:00:03.120,00:00:04.720,79,119
4,00:00:04.760,00:00:06.960,120,175
5,00:00:07.000,00:00:09.720,176,244
6,00:00:09.760,00:00:13.640,245,342
7,00:00:13.680,00:00:17.160,343,430
8,00:00:17.200,00:00:22.040,431,552
9,00:00:22.080,00:00:26.480,553,663
10,00:00:26.520,00:00:29.360,664,735
11,00:00:29.400,00:00:32.400,736,811
12,00:00:32.440,00:00:34.920,812,874
13,00:00:34.960,00:00:38.440,875,962
14,00:00:38.480,00:00:41.440,963,1037
15,00:00:41.480,00:00:45.480,1038,1138
16,00:00:45.520,00:00:48.160,1139,1205
17,00:00:48.200,00:00:52.040,1206,1302
18,00:00:52.080,00:00:55.440,1303,1387
19,00:00:55.480,00:00:59.240,1388,1482
20,00:00:59.280,00:01:06.440,1483,1662
21,00:01:06.480,00:01:11.080,1663,1778
22,00:01:11.120,00:01:13.560,1779,1840
23,00:01:13.600,00:01:18.400,1841,1961
24,00:01:18.440,00:01:22.840,1962,2072
25,00:01:22.880,00:01:26.960,2073,2175
26,00:01:27.000,00:01:35.240,2176,2382
27,00:01:35.280,00:01:39.800,2383,2496
28,00:01:39.840,00:01:43.680,2497,2593
29,00:01:43.720,00:01:47.160,2594,2680
30,00:01:47.200,00:01:57.120,2681,2929
31,00:01:57.160,00:01:59.160,2930,2980
32,00:01:59.200,00:02:02.240,2981,3057
33,00:02:02.280,00:02:04.800,3058,3121
34,00:02:04.840,00:02:06.040,3122,3152
