No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.080,1,3
2,00:00:00.120,00:00:02.960,4,75
3,00:00:03.000,00:00:05.840,76,147
4,00:00:05.880,00:00:09.440,148,237
5,00:00:09.480,00:00:13.560,238,340
6,00:00:13.600,00:00:15.160,341,380
7,00:00:15.200,00:00:17.080,381,428
8,00:00:17.120,00:00:19.640,429,492
9,00:00:19.680,00:00:31.080,493,778
10,00:00:31.120,00:00:33.280,779,833
11,00:00:33.320,00:00:36.800,834,921
12,00:00:36.840,00:00:40.400,922,1011
13,00:00:40.440,00:00:47.680,1012,1193
14,00:00:47.720,00:00:53.000,1194,1326
15,00:00:53.040,00:00:57.920,1327,1449
16,00:00:57.960,00:01:02.720,1450,1569
17,00:01:02.760,00:01:06.760,1570,1670
18,00:01:06.800,00:01:10.160,1671,1755
19,00:01:10.200,00:01:15.560,1756,1890
20,00:01:15.600,00:01:19.080,1891,1978
21,00:01:19.120,00:01:24.080,1979,2103
22,00:01:24.120,00:01:32.040,2104,2302
23,00:01:32.080,00:01:35.000,2303,2376
24,00:01:35.040,00:01:37.800,2377,2446
25,00:01:37.840,00:01:41.760,2447,2545
26,00:01:41.800,00:01:45.800,2546,2646
27,00:01:45.840,00:01:50.160,2647,2755
