No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.080,1,78
2,00:00:03.120,00:00:07.440,79,187
3,00:00:07.480,00:00:11.280,188,283
4,00:00:11.320,00:00:19.120,284,479
5,00:00:19.160,00:00:26.280,480,658
6,00:00:26.320,00:00:29.160,659,730
7,00:00:29.200,00:00:31.440,731,787
8,00:00:31.480,00:00:33.080,788,828
9,00:00:33.120,00:00:35.320,829,884
10,00:00:35.360,00:00:41.160,885,1030
11,00:00:41.200,00:00:45.800,1031,1146
12,00:00:45.840,00:00:49.720,1147,1244
13,00:00:49.760,00:00:50.960,1245,1275
14,00:00:51.000,00:01:04.560,1276,1615
15,00:01:04.600,00:01:13.640,1616,1842
16,00:01:13.680,00:01:19.400,1843,1986
17,00:01:19.440,00:01:27.880,1987,2198
18,00:01:27.920,00:01:33.760,2199,2345
19,00:01:33.800,00:01:34.840,2346,2372
20,00:01:34.880,00:01:38.040,2373,2452
21,00:01:38.080,00:01:44.400,2453,2611
22,00:01:44.440,00:01:54.160,2612,2855
23,00:01:54.200,00:02:00.880,2856,3023
24,00:02:00.920,00:02:02.280,3024,3058
25,00:02:02.320,00:02:04.840,3059,3122
26,00:02:04.880,00:02:07.200,3123,3181
