No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.280,1,108
2,00:00:04.320,00:00:09.760,109,245
3,00:00:09.800,00:00:13.320,246,334
4,00:00:13.360,00:00:16.680,335,418
5,00:00:16.720,00:00:19.440,419,487
6,00:00:19.480,00:00:27.640,488,692
7,00:00:27.680,00:00:34.280,693,858
8,00:00:34.320,00:00:42.120,859,1054
9,00:00:42.160,00:00:46.880,1055,1173
10,00:00:46.920,00:00:48.600,1174,1216
11,00:00:48.640,00:00:51.720,1217,1294
12,00:00:51.760,00:00:56.560,1295,1415
13,00:00:56.600,00:00:58.120,1416,1454
14,00:00:58.160,00:01:01.040,1455,1527
15,00:01:01.080,00:01:04.280,1528,1608
16,00:01:04.320,00:01:15.880,1609,1898
17,00:01:15.920,00:01:17.040,1899,1927
18,00:01:17.080,00:01:21.000,1928,2026
19,00:01:21.040,00:01:25.320,2027,2134
20,00:01:25.360,00:01:31.480,2135,2288
21,00:01:31.520,00:01:34.720,2289,2369
22,00:01:34.760,00:01:37.480,2370,2438
23,00:01:37.520,00:01:41.160,2439,2530
24,00:01:41.200,00:01:42.040,2531,2552
