No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.880,1,23
2,00:00:00.920,00:00:02.600,24,66
3,00:00:02.640,00:00:06.200,67,156
4,00:00:06.240,00:00:11.000,157,276
5,00:00:11.040,00:00:12.760,277,320
6,00:00:12.800,00:00:16.320,321,409
7,00:00:16.360,00:00:22.960,410,575
8,00:00:23.000,00:00:33.480,576,838
9,00:00:33.520,00:00:37.280,839,933
10,00:00:37.320,00:00:39.480,934,988
11,00:00:39.520,00:00:52.040,989,1302
12,00:00:52.080,00:00:56.520,1303,1414
13,00:00:56.560,00:01:00.160,1415,1505
14,00:01:00.200,00:01:03.520,1506,1589
15,00:01:03.560,00:01:07.600,1590,1691
16,00:01:07.640,00:01:15.480,1692,1888
17,00:01:15.520,00:01:29.880,1889,2248
18,00:01:29.920,00:01:35.040,2249,2377
19,00:01:35.080,00:01:38.240,2378,2457
20,00:01:38.280,00:01:40.680,2458,2518
21,00:01:40.720,00:01:43.120,2519,2579
22,00:01:43.160,00:01:49.440,2580,2737
23,00:01:49.480,00:01:51.520,2738,2789
24,00:01:51.560,00:01:55.760,2790,2895
25,00:01:55.800,00:01:58.080,2896,2953
26,00:01:58.120,00:02:02.680,2954,3068
27,00:02:02.720,00:02:05.760,3069,3145
28,00:02:05.800,00:02:10.200,3146,3256
29,00:02:10.240,00:02:20.320,3257,3509
30,00:02:20.360,00:02:23.160,3510,3580
31,00:02:23.200,00:02:26.880,3581,3673
