No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:06.880,1,173
2,00:00:06.920,00:00:16.160,174,405
3,00:00:16.200,00:00:18.440,406,462
4,00:00:18.480,00:00:21.800,463,546
5,00:00:21.840,00:00:26.200,547,656
6,00:00:26.240,00:00:32.520,657,814
7,00:00:32.560,00:00:35.120,815,879
8,00:00:35.160,00:00:39.480,880,988
9,00:00:39.520,00:00:50.640,989,1267
10,00:00:50.680,00:00:52.800,1268,1321
11,00:00:52.840,00:00:56.920,1322,1424
12,00:00:56.960,00:01:06.000,1425,1651
13,00:01:06.040,00:01:21.360,1652,2035
14,00:01:21.400,00:01:21.440,2036,2037
15,00:01:21.480,00:01:26.440,2038,2162
16,00:01:26.480,00:01:39.800,2163,2496
17,00:01:39.840,00:01:39.880,2497,2498
18,00:01:39.920,00:01:39.960,2499,2500
