No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.920,1,49
2,00:00:01.960,00:00:15.120,50,379
3,00:00:15.160,00:00:16.640,380,417
4,00:00:16.680,00:00:20.200,418,506
5,00:00:20.240,00:00:29.400,507,736
6,00:00:29.440,00:00:34.280,737,858
7,00:00:34.320,00:00:36.080,859,903
8,00:00:36.120,00:00:42.880,904,1073
9,00:00:42.920,00:00:45.040,1074,1127
10,00:00:45.080,00:00:50.920,1128,1274
11,00:00:50.960,00:00:55.920,1275,1399
12,00:00:55.960,00:01:09.320,1400,1734
13,00:01:09.360,00:01:11.640,1735,1792
14,00:01:11.680,00:01:15.400,1793,1886
15,00:01:15.440,00:01:23.560,1887,2090
16,00:01:23.600,00:01:27.040,2091,2177
17,00:01:27.080,00:01:29.600,2178,2241
18,00:01:29.640,00:01:32.040,2242,2302
19,00:01:32.080,00:01:34.400,2303,2361
20,00:01:34.440,00:01:38.240,2362,2457
21,00:01:38.280,00:01:51.520,2458,2789
22,00:01:51.560,00:01:53.120,2790,2829
23,00:01:53.160,00:01:59.360,2830,2985
24,00:01:59.400,00:02:11.200,2986,3281
25,00:02:11.240,00:02:14.560,3282,3365
26,00:02:14.600,00:02:18.760,3366,3470
27,00:02:18.800,00:02:25.680,3471,3643
