No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.720,1,69
2,00:00:02.760,00:00:08.560,70,215
3,00:00:08.600,00:00:16.280,216,408
4,00:00:16.320,00:00:18.920,409,474
5,00:00:18.960,00:00:20.480,475,513
6,00:00:20.520,00:00:24.120,514,604
7,00:00:24.160,00:00:27.520,605,689
8,00:00:27.560,00:00:31.040,690,777
9,00:00:31.080,00:00:33.120,778,829
10,00:00:33.160,00:00:38.440,830,962
11,00:00:38.480,00:00:41.040,963,1027
12,00:00:41.080,00:00:43.160,1028,1080
13,00:00:43.200,00:00:45.800,1081,1146
14,00:00:45.840,00:00:47.720,1147,1194
15,00:00:47.760,00:00:50.800,1195,1271
16,00:00:50.840,00:00:53.280,1272,1333
17,00:00:53.320,00:01:02.160,1334,1555
