No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:17.720,1,444
2,00:00:17.760,00:00:25.520,445,639
3,00:00:25.560,00:00:30.920,640,774
4,00:00:30.960,00:00:36.040,775,902
5,00:00:36.080,00:00:43.600,903,1091
6,00:00:43.640,00:00:50.760,1092,1270
7,00:00:50.800,00:00:55.240,1271,1382
8,00:00:55.280,00:00:57.480,1383,1438
9,00:00:57.520,00:01:00.560,1439,1515
10,00:01:00.600,00:01:06.480,1516,1663
11,00:01:06.520,00:01:12.200,1664,1806
12,00:01:12.240,00:01:14.080,1807,1853
13,00:01:14.120,00:01:14.120,1854,1854
