No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.640,1,67
2,00:00:02.680,00:00:06.360,68,160
3,00:00:06.400,00:00:14.120,161,354
4,00:00:14.160,00:00:18.080,355,453
5,00:00:18.120,00:00:21.320,454,534
6,00:00:21.360,00:00:25.400,535,636
7,00:00:25.440,00:00:27.920,637,699
8,00:00:27.960,00:00:32.280,700,808
9,00:00:32.320,00:00:34.000,809,851
10,00:00:34.040,00:00:38.440,852,962
11,00:00:38.480,00:00:41.560,963,1040
12,00:00:41.600,00:00:44.600,1041,1116
13,00:00:44.640,00:00:49.400,1117,1236
14,00:00:49.440,00:00:54.040,1237,1352
15,00:00:54.080,00:00:57.960,1353,1450
16,00:00:58.000,00:01:02.880,1451,1573
17,00:01:02.920,00:01:05.760,1574,1645
18,00:01:05.800,00:01:09.640,1646,1742
19,00:01:09.680,00:01:15.600,1743,1891
20,00:01:15.640,00:01:22.960,1892,2075
21,00:01:23.000,00:01:27.240,2076,2182
22,00:01:27.280,00:01:36.440,2183,2412
23,00:01:36.480,00:01:47.360,2413,2685
24,00:01:47.400,00:01:49.160,2686,2730
25,00:01:49.200,00:02:01.800,2731,3046
26,00:02:01.840,00:02:07.720,3047,3194
27,00:02:07.760,00:02:12.800,3195,3321
28,00:02:12.840,00:02:16.720,3322,3419
29,00:02:16.760,00:02:19.680,3420,3493
30,00:02:19.720,00:02:25.720,3494,3644
31,00:02:25.760,00:02:28.360,3645,3710
32,00:02:28.400,00:02:30.960,3711,3775
33,00:02:31.000,00:02:34.120,3776,3854
34,00:02:34.160,00:02:37.680,3855,3943
35,00:02:37.720,00:02:41.680,3944,4043
36,00:02:41.720,00:02:46.000,4044,4151
37,00:02:46.040,00:02:47.440,4152,4187
38,00:02:47.480,00:02:49.440,4188,4237
39,00:02:49.480,00:02:56.320,4238,4409
40,00:02:56.360,00:03:00.160,4410,4505
41,00:03:00.200,00:03:04.040,4506,4602
42,00:03:04.080,00:03:06.440,4603,4662
43,00:03:06.480,00:03:09.120,4663,4729
44,00:03:09.160,00:03:13.280,4730,4833
45,00:03:13.320,00:03:15.000,4834,4876
46,00:03:15.040,00:03:19.640,4877,4992
47,00:03:19.680,00:03:23.720,4993,5094
48,00:03:23.760,00:03:25.040,5095,5127
